2,APIkit Studio project creation wizard for new model,"The APIkit updates for Mule Studio should be updated to use the new APIkit model.   Acceptance for this story is the demonstration of the existing (as per private beta 2 version) of the APIkit Studio support but using the new APIkit model.   Additionally,"
2,Support SCM merge,Studio Mule projects should be more team collaboration friendly. Today the main issue is related to merging mflow file.     http://corp.wiki.mulesource.com/display/STUDIO/Studio+project+refactor+-+SCM-mflow+related+tasks
1,Studio support for new OAuth configuration,"As a Studio user, I will like to have support for the new OAuth configuration.  Studio editors should support generating the improved user experience XML."
2,DataSense for SAP,Need to support the XML data model for SAP.
2,Move popup property editors to bottom window to be consistent,Move all editors as property editors (they no longer should be pop ups)    Steps:    * Merge with develop branch  * Test / Analyze DataSense Support  * Do UX tests
2,APIkit 0.2 causes DataMapper issues,"I installed APIkit 0.2 and now when I define a datamapper processor, the config does not get created and the MP does not point to a config. The grf file does get created. I also cannot define a lookup table on any existing grf file anymore"
2,Update Salesforce Connector to support Queries,Update the SalesForce Cloud Connector to support the new DataSense query model.
3,Basic Query Editor,Mockups: corp.wiki.mulesource.com/display/WP/Connector+Query+Model  Acceptance criteria: * Can select object to query * Can select fields to query * Generated connector query displayed * 2 way editing between XML and UI * Use case 2a  * An error message s
2,Update Salesforce Connector to support Paging,"Update Salesforce connector to support new paging model.  * queryAll/queryMore become deprecated * query uses queryAll/queryMore underneath the covers * Must be able to specify the batch size * Limit/count can still be used, if there are multiple pages, i"
2,Define DataSense Query Model,We need to:    * Define DataSense Query Model  * Provide Mockups  * Provide Estimates for Query DataSense Model
2,Maven - Studio should provide a way to see the logs of the studio:studio executions to check what went wrong if something failed,"Currently if studio:studio failed to run, the user needs to go to the command line and run it themselves in order to see what is going wrong before fixing it.    As a developer using maven, i want to see the maven output of things being executed in a cons"
2,Maven - there is no feedback or indication if studio:studio failed to run (when running in the background),"As a developer using maven, I want to be notified if my project's classpath is not up to date with my pom because studio:studio not being able to run."
2,SCM - Generate a simple .gitignore file with the project at the moment of creation,We should ignore the /flows folder by default.
2,"SCM - Polish the ""mflow-less"" experience","Actually when you import/open a project, only one of the mflows is generated  Evaluate the implicances of starting off with no mflows (check out project and open it in studio)"
2,"As a Studio Developer, I want to be able to contribute sections to the New Mule Project wizard",TBD
2,Remove old plugin files after updating Studio through an update site,When updating Studio through the update site mechanism (Cloud Connectors or Studio components) the old plugins are kept. This makes the installation size grow a lot. For example after upgrading from 3.4.0 to the may 10th release the installation grow up t
1,"Metadata in Dynamic Lookup should only be displayed when lookup type is ""Service""","On the Anypoint Service Registry component, the Endpoint Metadata should only be displayed when the Lookup Type selected is ""Service""."
2,CE JDBC connector changing to EE JDBC when editing graphical mode,"When using CE runtime and having a CE JDBC connector, if the user edits something in the Flow View and goes to the XML the CE JDBC connector now is a EE JDBC connector.    To reproduce:  - Create new CE project  - Paste the following XML and Save:  {code}"
3,Add copy and paste support of message processors in the visual editor,"This feature allows the user to easily copy and paste elements in the studio visual editor. Copy and paste of elements  can be performed by two ways:    1- Keeping the Alt key pressed while dragging an element to an specific location, and, when it is drop"
2,Enum combos are not properly reset when changing operation,"The issue can be reproduced with netsuite connector, switching from a addRecord operation to a find Records operation.    Select one operation that has an enum as a parameter.  Save the configuration.  Change to another operation that also has enums, but "
3,Data Mapper JDBC connection - did not recover on its own,"If for some reason, app experienced connection issue with database, DataMapper cannot refresh connection even after everything has recovered."
1,The consumer key of the dynamic element should only be shown in versions above 3.4,"We need to add some validation which apply to the dynamic element and the UI for its attributes. The UI of this element will be tied to the version of the runtime that is being used, so the consumer key stuff will be shown just when you are using a 3.5 ES"
2,Update third party licence document,Update third party licence document  We need to review our current list of 3rd party libraries (https://docs.google.com/a/mulesoft.com/spreadsheet/ccc?key=0AtuXBVwHpOTddEF6OVNCeDl0eDRjZXkxN0ZvQ01Qb3c#gid=17) and revised as follows:  Include only libraries
2,"Start, stop and execute polls via debugger",Mockups: http://corp.wiki.mulesource.com/display/WP/Poll+2.0
