3,Support for request/reply,request/reply  http://www.mulesoft.org/documentation/display/current/Routing+Message+Processors#RoutingMessageProcessors-RequestReply  Mockups here: http://corp.wiki.mulesource.com/display/WP/Request-Reply#Request-Reply-Mockups 
2,Cannot import a Studio project from Git without errors,"Steps to reproduce:    1. Create a simple Mule Studio project (for instance: the Echo example)  2. Push it into GitHub, pull/clone the repository into your local instance  3. Open up a brand new workspace  4. Goto Import/Git/Projects from Git  5. Select t"
2,Changes to Java code do not get hot deployed,"Java source changes don't get picked up right now automatically (see STUDIO-381) however, even if a redeploy is triggered the latest java changes are not deployed"
2,Unable to add a response when creating a second flow in the same mflow,"Unable to add a response when creating a second flow.    Steps to reproduce:    1) Open Studio and create a project from an existing template: Order Discounter.  2) In that same mflow file create another flow. Drag and drop HTTP RQ-RS, echo, flow referenc"
2, Namespaces in the XML view are not being removed when you remove all the elements of a kind,"When you add an element and then you remove it, the reference to the schema file is not being removed from the XML namespaces.      Steps to reproduce:   1.- Create a project in Studio with a flow in it and go to the Global Elements tab.   2.- Add for exa"
2,"Would save time to be given the option to create a class in addition to selecting an existing class inside a widget dialog box (e.g., Component)",Add a button in the ClassFieldEditor to create the class inline. 
2,View the class code just by clicking on the class name displayed in the widget dialog box,"Currently, to view the class code (e.g., component) specified in the widget configuration, I have to leave the dialog box to find it. A very desirable feature would be to view the class code (as a separate tab in the editor ) just by clicking on the class"
2,Reference to the subflow get lost when changing the subflow name (Exception Strategy),Steps to reproduce:   1.- Create a project in STUDIO with a flow and a sub-flow  2.- Go to the Flow properties window and set the Exception Subflow ref combo to the subflow that you have. Clic OK.   3.- Change the name of the subflow.  4.- Open the flow p
4,"Studio can be a lot smarter when handling logic expressions. I'd rather not see AND, OR, NOT filters in the palette","it seems we could have a single filter element in the flow control section that has one dialog that allows people to select an expression (this works for wildcard and regex) and have a section below to allow the user to add new filters with AND, OR or NOT"
2,Response section is not displayed,"My config is as follows:  <flow name=""TicketFlowFlow1"" doc:name=""TicketFlowFlow1"">          <composite-source>              <http:inbound-endpoint exchange-pattern=""request-response"" host=""localhost"" port=""8081"" doc:name=""HTTP""/>              <vm:inbound-"
