no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,0,0.17772892,0.3508161,0.449421,0.050554015,-0.07536422,-0.36599866,0.007890513,-0.0112150675,0.1815179,0.07430203,0.2754383,-0.27148095,-0.2948127,0.10761633,0.25952184,0.15470809,-0.083365396,-0.006900767,0.38141125,0.16848226,-0.13417163,0.21663274,-0.3288089,0.054353863,-0.30624083,0.05936029,0.40155804,-0.34704512,-0.05856529,-0.09644848,0.0709787,-0.18879607,0.1660249,0.01629983,-0.25296685,-0.07583829,-0.030890442,-0.31078234,0.1129888,-0.08156127,0.111869246,0.105343886,0.33417645,0.08062322,0.008350021,0.1660555,-0.13620459,-0.41157523,-0.30582505,0.031179491
2,0,-0.04911449,0.123935014,0.24463387,-0.19195911,-0.0018930143,-0.21218477,0.055784672,0.04529766,0.027793543,0.026115773,0.06974564,-0.05416523,0.034978718,0.071666285,0.061545078,0.02427356,-0.023701262,-0.10772821,-0.08164806,0.042655982,-0.12715319,0.045364916,0.0022305795,0.08436775,-0.16170017,-0.031360596,0.061547317,-0.2000063,-0.005043446,-0.14313506,-0.03101557,-0.18525817,0.1956844,-0.0043941066,0.053905696,-0.12426172,0.06505365,-0.0780275,0.0038718616,-0.018998675,-0.1352041,-0.04594171,0.0689151,-0.022664249,-0.09012222,0.13941135,0.059181247,-0.22314888,-0.15040927,0.011525403
3,0,-0.07480436,0.12302339,0.35093027,-0.19718383,-0.06494486,-0.4480556,0.1882738,-0.058551278,0.14743821,0.040294316,0.287053,-0.1875547,-0.19776644,0.15693109,0.13230562,0.11835011,0.06681983,0.004250057,0.08212248,0.12004873,-0.037392862,0.0058845663,-0.29796484,0.20611127,-0.38976514,0.116644114,0.23562855,-0.16467224,-0.12788685,-0.06443864,0.15005364,-0.15023138,0.20819026,0.059887502,-0.32191345,-0.19512458,-0.11075314,-0.10183385,0.11390434,-0.075203024,-0.04148735,0.050926078,0.19990095,0.04616302,-0.19707859,0.2429157,-0.08344505,-0.295236,-0.26481014,0.2556888
4,0,0.036581602,0.23277283,0.27854034,-0.009053702,-0.033241857,-0.36761397,-0.06886921,-0.027137414,0.0830245,-0.16734535,0.39130443,-0.25747946,-0.21327002,0.10848335,0.0668566,0.1690666,-0.026528286,-0.1271261,0.08237626,0.084150694,-0.12104198,0.08528416,-0.22116618,0.0188116,-0.29686475,0.052327532,0.25988138,-0.40449542,-0.01744599,-0.061079197,-0.10878249,-0.17679726,0.07913105,-0.010698308,-0.064090416,-0.12346981,-0.017370243,-0.28306282,0.13345368,-0.040606137,-0.0649045,-0.13276978,0.122965425,-0.13191903,-0.11593254,0.15090325,0.30852082,-0.36391565,-0.44905558,0.011025566
5,0,0.0847232,0.20596384,0.4423594,-0.14012775,-0.08499717,-0.4736757,0.1086111,-0.0923222,0.06708652,-0.0119889155,0.39319938,-0.28457594,-0.23518227,0.10943587,0.1793618,0.14762078,-0.2030119,-0.147825,0.04992539,-0.1020366,-0.25486574,0.09658372,-0.06602255,-0.010405666,-0.27551126,0.0234734,0.16356629,-0.33120367,0.018557485,-0.026139166,0.19998026,-0.17351553,0.1384049,-0.030879553,0.17462985,0.013799941,-0.03195493,-0.03578421,0.048546568,-0.17168929,-0.062493272,-0.08633697,0.3750098,-0.117981866,-0.031550173,0.3717619,0.15807465,-0.32594833,-0.38683972,0.19636154
6,0,0.033862308,0.18027726,0.24022524,-0.19330814,-0.0928068,-0.20723654,0.22013,0.20046769,0.117282264,-0.04855377,0.08662097,0.030156294,0.11141452,0.2630547,0.17058721,0.31983936,-0.24176614,-0.0045785536,0.040838256,0.15782171,-0.1745291,0.1979113,-0.22781368,0.040000245,-0.14416148,0.084478594,0.1511084,-0.21721122,0.09901408,0.08809263,0.04288442,-0.19520015,0.03803896,-0.18045244,-0.11104632,-0.21798173,0.102974094,-0.055683028,0.014543939,-0.036253493,-0.028218402,0.22538127,0.032608192,-0.011282885,-0.2895175,0.31225643,-0.07038747,-0.2385167,-0.05870201,0.021915989
7,0,0.023384156,0.094214424,0.11630365,-0.18354738,-0.13552578,-0.21270293,0.20699821,0.081065334,0.022613518,-0.0029555555,-0.10145444,0.026079386,-0.0077410648,0.2495602,0.12993129,0.11124436,-0.024100205,-0.07049615,0.005561448,-0.006615178,-0.12611365,0.14615305,-0.18159656,0.057480995,0.0012959978,0.0032051574,0.17269258,-0.08191218,0.10747632,-0.084038384,-0.0920052,-0.14235514,0.064273484,-0.047906812,0.081563644,-0.04276388,0.11303044,0.014130795,0.05822001,-0.00031835353,-0.16838627,0.15533024,0.024399212,0.00304833,-0.051606808,0.1704332,0.0338766,-0.16265413,-0.045949902,-0.15590183
8,0,0.09297344,0.20148556,0.19491813,-0.05242946,-0.025740007,-0.23473316,-0.02464389,0.071862526,0.131316,-0.054572448,0.09387515,-0.07414859,-0.062365815,0.09595237,0.1175841,0.07514439,-0.13186379,-0.09699805,0.073285915,-0.041164216,-0.13756727,0.12592055,-0.056785226,-0.07290235,-0.18397895,-0.0012599891,0.25410703,-0.2529059,0.05979926,-0.10237971,-0.043101154,-0.17450058,-0.0025675574,0.06427208,-0.13995779,-0.008648708,0.09965634,-0.20152399,0.07649229,-0.122258715,-0.060772654,-0.073243596,0.23084028,0.06519272,-0.023733815,0.24089965,0.06909133,-0.23589669,-0.262363,-0.080560766
9,0,0.06160852,-0.07424461,0.11390717,-0.1719728,0.012361441,-0.2779777,0.15835507,-0.0046801013,0.11452693,0.027952481,0.053806942,-0.0027621235,-0.020970894,0.0668664,0.053004894,-0.055960122,0.02188611,-0.066128485,-0.06883418,0.0029479526,0.03260006,0.1604795,-0.2871618,-0.14000794,-0.040647358,-0.090221435,0.15918669,-0.20246695,-0.058111876,-0.07517694,0.01378853,-0.21011572,0.03996605,-0.018230924,0.06472095,-0.1532891,0.04476185,0.03495949,0.04470072,-0.06972136,-0.095782824,0.122113,0.00051231706,0.086362995,-0.1499368,0.17903087,0.06114853,-0.16963229,-0.0574386,0.042177394
10,0,0.11232727,0.23177008,0.26845413,-0.12544377,-0.04200607,-0.23968409,-0.0051886137,0.027593952,0.16786563,0.034192406,0.24839813,-0.13947359,-0.18263805,0.03096848,0.06825321,0.09297462,-0.12520425,-0.047169615,0.06334629,0.027176324,-0.041255962,0.16908517,-0.2020072,0.03867282,-0.20695019,0.01577195,0.23133723,-0.16942465,0.04099748,0.009495019,0.009999423,-0.1889833,0.052339375,0.015250778,-0.10018487,-0.09166302,-0.0060505476,-0.17185076,0.013871122,-0.10541447,-0.022148203,-0.12663935,0.16166613,0.015945518,-0.13216539,0.15573354,0.0061652763,-0.21828875,-0.22175536,0.060336836
