no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,1,0.05758588,0.12561354,0.4429271,-0.10986753,0.0657235,-0.16597196,-0.0529924,-0.049437724,0.37260354,0.08495392,0.33368832,-0.32563877,-0.38759327,-0.0066920733,-0.10327744,0.09623715,-0.00922617,-0.036895763,0.08174992,-0.10384606,-0.046262957,0.06163972,-0.21079655,-0.1606766,-0.25330123,0.04053391,0.25143465,-0.36169535,-0.15071234,0.023576973,0.0447413,0.0617167,-0.0021613804,0.041917395,-0.3079932,0.03734597,0.0699751,-0.15733811,-0.21510741,-0.0616527,0.06523797,-0.21380101,0.2731543,0.0836502,-0.05115055,0.1267497,-0.070906684,-0.2890235,-0.29094383,0.21515928
2,0,0.08946187,0.097022325,0.11644694,-0.0141341165,0.038587917,-0.042743184,-0.058131948,-0.086134456,0.2496727,-0.010850708,0.19744259,-0.11745457,-0.11143476,0.029179892,0.05945888,0.02302817,-0.0034950692,-0.10814895,0.053102884,0.036435436,-0.100183815,0.072882414,-0.12954049,0.04885373,-0.18452814,0.054796427,0.12762167,-0.111239925,0.045130648,0.012072196,0.07598406,-0.011824034,-0.10796519,0.055233747,-0.016458664,0.0131056905,0.042403996,-0.1047871,-0.02956298,-0.10309126,0.05272641,-0.033702556,0.08445381,0.035241667,-0.04413375,0.028639346,0.0049166298,-0.13310868,-0.109410584,0.042941764
3,0,-0.119402796,-0.94277287,1.1135409,-1.0447564,-0.07384625,-0.7711922,-0.38169652,-0.19405147,1.2932012,0.5119928,0.5078327,-0.88386565,-1.3634448,-0.5660372,-0.6535699,0.26626346,-0.14189026,-0.20744672,-0.18023317,-0.39375302,-0.3113474,-0.54481965,-0.7191164,0.39672613,-0.12091833,-0.10698167,0.862244,-1.0127007,-0.48379496,0.22490852,0.47081837,-0.43001035,0.324319,0.046214085,-0.25179887,-0.18725072,0.101979755,-0.002376208,-0.23838446,-0.64020187,0.7416456,-0.15916124,0.55174404,-0.19303921,-0.56661993,0.39611074,-0.2213272,-0.20494817,0.080848664,0.3820859
4,0,0.07062655,0.054564882,0.35640088,-0.13790314,0.13610767,-0.05357584,-0.027554492,-0.02376414,0.37673223,-0.05176833,0.36699757,-0.08873411,-0.24586721,0.036050264,0.09529117,0.09374731,-0.06251466,0.114280194,0.03750201,-0.04311121,0.043009978,0.081964254,-0.19966508,-0.04744656,-0.11294353,0.0043400195,0.3262027,-0.3767016,-0.18499787,0.26467595,0.058702294,0.038122132,-0.039255507,0.024733987,-0.2598962,-0.216629,-0.05506807,-0.010528522,-0.021073263,0.09517128,0.1467275,0.026546933,-0.015740983,0.023461841,-0.16863775,0.17271768,-0.04573934,-0.24065137,-0.09322457,0.040992342
5,1,0.14195016,0.20341161,0.4245731,-0.113079004,0.14818257,-0.39558005,0.00319164,-0.050013665,0.2866059,-0.03793409,0.4813825,-0.42549396,-0.43045506,0.1401113,0.0582214,0.19055647,-0.3892555,-0.065305695,0.28521037,0.05253878,-0.21399945,0.15139465,-0.31662956,0.07476285,-0.46209985,0.16461776,0.33190137,-0.46042347,-0.06016603,0.04377911,0.06385008,-0.073720716,-0.05087371,-0.028706945,-0.08412551,0.16521612,0.0044043157,-0.34096202,-0.15012829,-0.15319139,0.14067297,-0.0142878685,0.17073277,-0.0045576375,-0.11096594,0.14647263,-0.013505024,-0.3577405,-0.45741263,0.38325134
6,0,0.09546743,0.103869915,0.19806188,0.017473537,0.004558025,-0.14133358,-0.060164165,0.015832214,0.11209971,-0.02645953,0.18705389,-0.10953432,-0.22499248,0.039523266,0.08504458,0.044544093,-0.027023738,-0.0020754873,0.12379493,0.02358237,-0.09695064,0.10949196,-0.11181798,0.026735341,-0.21594416,-0.01280228,0.18592879,-0.14756462,-0.032846164,0.082655884,0.10122259,-0.08315289,-0.042097144,0.049541146,-0.101814546,-0.019752,-0.025350079,-0.13845135,-0.039339874,-0.018941537,0.05771205,-0.035320297,0.15268412,0.00502272,-0.040185492,0.12869202,-0.005145975,-0.15929304,-0.22269042,0.057468902
7,1,0.05805311,0.04189565,0.10661055,-0.021610752,-0.010867843,-0.0089997,0.0049509266,-0.021372356,0.15969506,0.04053947,0.057148322,-0.058895797,-0.030395582,-0.001945095,0.08606788,0.02267308,-0.012685306,-0.01951031,-0.03913773,-0.043185152,-0.02177261,0.028212994,-0.033854023,0.025884133,-0.07537519,0.08142332,0.07241175,0.007163523,0.0507996,0.011246905,0.021973126,0.036089584,0.00045871234,0.049980875,-0.009055284,-0.04782871,0.012879068,-0.023499612,0.030426137,-0.020494673,0.046062168,0.0271564,-0.012679879,0.034501363,-0.037377566,0.051093854,0.030058028,-0.033324413,-0.0044751214,0.05815168
8,1,0.0543836,0.08347368,0.22444743,-0.032826923,0.07893504,-0.13664728,-0.025809512,0.011485729,0.18499118,0.15632036,0.15846363,-0.11740627,-0.09801803,-0.03225682,0.045128424,0.12904863,0.0322472,-0.072419226,0.020278974,-0.0012777707,-0.070665576,0.04929686,-0.140617,-0.026119856,-0.10168404,0.06300365,0.20534046,-0.10820993,-0.029350694,0.13508469,0.17870899,-0.020868428,0.077355705,-0.023771241,-0.091325246,-0.10102027,-0.056333326,-0.011998146,0.00082441024,-0.014134369,0.010740112,-0.04461536,-0.0110930065,-0.0100272475,0.05911084,0.048120316,0.016578699,-0.12520207,-0.1852536,0.09373609
9,1,-0.12175787,0.16046675,0.29700804,0.07413628,0.17278565,-0.25544763,-0.0020194536,0.009994636,0.4252221,0.083835766,0.37874356,-0.13120916,-0.37458485,0.0028349776,0.23072273,0.3281116,-0.092517674,0.018418394,0.31621945,0.114581175,-0.19080971,0.081745915,-0.29995576,0.0010957406,-0.29645464,0.035637718,0.37031576,-0.26761842,0.012531333,-0.045645956,0.200664,-0.12570871,0.037983235,0.015466271,-0.11743417,0.008464781,-0.018354304,-0.21897109,-0.045032755,-0.19213973,0.21994777,-0.058589417,0.18090399,-0.11500797,-0.059969228,0.017952839,0.010107291,-0.34947905,-0.33608806,0.12168947
10,1,-0.013449758,0.09554086,0.14033052,0.020272098,0.035632413,-0.08181022,-0.096443504,0.004623555,0.11285328,0.059051976,0.18651035,-0.10129648,-0.14993662,0.06385223,0.080485955,0.11486295,-0.054442994,0.07151523,0.0980753,-0.0030691423,-0.02426727,0.047196414,-0.16740885,0.016972188,-0.014342165,0.011989657,0.13652554,-0.0967326,0.03900901,0.014643458,0.091468036,-0.04420023,-0.0027670069,0.0033543473,-0.07800529,-0.029485228,-0.034082904,-0.08021498,-0.037738144,-0.013494405,0.10025714,-0.015874984,-0.030703533,-0.06886531,0.10374748,0.06904987,-0.005901753,-0.09781632,-0.13583517,0.14959088
11,0,0.119605556,0.19253102,0.5299449,-0.025776763,-0.019400945,-0.24997048,0.045628794,-0.058406927,0.34527758,0.05635401,0.3439444,-0.32861176,-0.30983305,0.08995412,0.1227761,0.15459496,-0.24341516,-0.07814327,0.22288172,0.04370509,-0.28023642,0.15078054,-0.2573957,0.05907995,-0.5250666,0.112070695,0.30639148,-0.40991637,0.014179416,0.04128647,0.03654983,-0.1329552,-0.1250541,0.06508463,-0.1287925,-0.032682788,-0.14163938,-0.32643577,0.04535232,-0.0529478,0.19577765,-0.111307405,0.3278971,-0.01095029,-0.1868427,0.22251587,-0.016024223,-0.30575773,-0.4029412,0.15554424
12,1,0.049282625,0.07309719,0.09001096,-0.0050316327,0.0118970685,-0.045960154,-0.029761367,-0.03481786,0.066609755,-0.0017235652,0.06600413,-0.009633475,-0.07105984,0.02400335,-0.0006349706,0.032350942,-0.023816004,-0.03332296,0.009238837,-0.01241781,-0.054511886,0.02206651,-0.038058944,-0.029379914,-0.053938746,0.025764707,0.10346089,-0.08658061,0.025597556,0.013664728,-0.0069890125,0.012167973,0.002421317,0.024571776,-0.04388348,0.014728358,0.034310408,-0.07223463,0.009414699,-0.0066355467,0.053064518,-0.03805802,0.07174076,0.020909684,-0.0091166375,0.032753177,-0.016693344,-0.09738087,-0.09137319,0.029962279
