no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,0,0.001660447,0.12842466,0.072466485,-0.107306555,0.09160985,-0.07732247,-0.08080435,-0.12569803,0.22949614,0.029822152,0.26955062,-0.11730775,-0.15932693,0.028171504,0.103982985,0.061219256,-0.14464483,-0.0047308523,0.037057724,0.13767569,-0.039912716,0.17472263,-0.10289087,0.00086732657,-0.1363652,0.0819641,0.13379505,-0.024497842,-0.032150052,0.11274707,-0.019910611,-0.03072843,-0.07925347,0.10058317,-0.102586046,0.026598275,-0.038948067,-0.1602779,-0.043279655,0.10325218,0.005554861,-0.14884353,0.17477728,0.05355217,-0.021627672,0.006248623,-0.00190083,-0.08660478,-0.09803581,0.009269614
2,1,0.16274458,0.09572887,0.19522627,-0.2249899,0.23114184,-0.20931588,-0.24319582,-0.12775534,0.17405304,0.18063684,0.36527628,-0.13844828,-0.4124028,0.25460458,0.17989269,0.121383876,-0.3565572,0.09824572,0.044675577,-0.052902807,-0.20964512,0.15980166,-0.014797942,-0.030486625,-0.17836592,0.021006871,0.2970257,-0.06027315,0.014627546,0.2334177,0.03521871,-0.020852204,-0.25428635,0.23974624,-0.23607235,0.1895712,-0.16426507,-0.12862912,0.13728845,0.009889975,0.036504913,-0.11135868,0.1390083,-0.072844125,-0.029223312,0.09236864,0.008385918,-0.26585814,-0.17962861,0.1323762
3,1,-0.080855496,0.22121665,0.2338042,-0.072905,-0.09576213,-0.16978465,-0.08051318,-0.02414468,0.17051822,-0.031957407,0.40697327,-0.078473,-0.19604865,0.08823353,0.11352475,0.15873471,-0.26391628,-0.11823616,0.2116815,0.09552902,-0.24384727,0.20529471,-0.21692064,-0.16180839,-0.36835515,0.09029649,0.18038455,-0.22428419,-0.0058168494,0.008506658,0.18103063,0.024817323,-0.1890616,0.17636335,-0.19465844,-0.024183463,0.012952204,-0.21857278,0.015445033,0.100865565,0.2038963,0.02925706,0.21561216,0.09003014,-0.119035035,0.09104588,-0.032722466,-0.14768116,-0.24983701,0.04515694
4,0,-0.8228165,-0.9045822,0.6620139,-0.26745465,0.86955076,0.07913071,-0.4903138,-0.6158533,0.5287648,0.65699214,0.62121904,-0.7212567,-0.84530824,0.38874352,-0.19341537,0.5262864,-0.49851495,0.22014631,0.14340545,-0.31377158,-0.24475257,0.30647978,0.10178135,0.5182513,0.04264817,-0.4280634,0.08175951,-1.2846749,-0.10893193,1.3019215,-0.13751476,0.20301458,-0.4343335,0.41404876,-0.43466514,-0.4534446,-0.10263874,-0.034206163,-0.32219744,-0.48505664,1.419385,0.054220907,-0.1751808,0.04269824,-0.377015,0.47161534,-0.19706438,0.23486228,-0.37178317,0.32086408
5,0,0.071618326,0.062417455,0.08095364,-0.27947268,0.09133916,-0.13861772,-0.098769926,-0.21461827,0.1489487,0.116918236,0.09510192,-0.021265972,-0.075518765,-0.08927101,-0.1947699,0.064877436,-0.1016537,-0.006988966,0.046603877,-0.1753867,-0.24219273,-0.13866359,-0.023646958,-0.15681931,-0.2494195,0.048390307,0.11244895,-0.19292966,-0.05868545,-0.0225657,-0.043197438,-0.07619453,-0.018709306,-0.018804707,-0.19288677,-0.012317354,-0.021914547,-0.10526568,0.028829716,-0.108773164,0.08758656,-0.17288771,0.23946704,-0.0399121,-0.16214168,0.06825745,0.03970906,-0.041414008,-0.20135695,0.11694089
6,0,0.18255757,0.22258961,0.67546284,-0.6912586,0.3425936,-0.46522614,0.065721095,-0.13489553,0.32971615,0.24875717,0.42046008,-0.18140644,-0.42786086,-0.07343682,0.11300474,0.25043988,-0.3319282,-0.11485032,-0.08411079,-0.03525348,-0.23253442,0.23897561,-0.1968201,-0.29239303,-0.34528968,-0.25923318,0.720798,-0.64181674,-0.21742277,0.11754776,0.18140142,-0.06662479,-0.04503178,-0.113333516,-0.2533431,-0.43560225,-0.18004459,-0.02937024,0.029011741,0.035699986,0.2181924,0.21067941,0.33510476,-0.15550077,-0.5007594,0.065996245,0.35184476,-0.632938,-0.6025104,0.7224372
7,0,0.11859537,0.05568702,0.16786112,-0.116668746,0.046299048,-0.06024981,-0.058725253,-0.07208838,0.14533563,0.084228754,0.30741367,-0.11147327,-0.20837282,0.076843366,0.07701241,0.08882307,-0.19790441,0.008680185,0.07286125,-0.10832293,-0.1965192,0.011750731,-0.116135836,-0.021313353,-0.1201396,0.0796746,0.16842738,-0.020499703,-0.049149737,0.1210328,0.1520953,-0.10332975,-0.077768765,0.111250855,-0.2259272,0.012612406,-0.089717835,-0.18291749,-0.025252853,0.10678306,0.051347893,-0.06619064,0.024415987,-0.05474564,-0.014756847,0.018832685,-0.019762859,-0.0967277,-0.13116491,0.08460069
8,0,-0.04457176,-0.10905481,0.02852463,-0.05378081,0.08787243,-0.33247623,-0.18846643,-0.35458362,0.20676747,0.21956605,-0.07087086,-0.068113655,-0.42546198,0.07346557,0.21621962,0.20212883,-0.20243524,0.034378342,0.16146047,-0.042483583,-0.25662553,0.33912504,-0.19843228,0.05531598,-0.01958635,-0.30360702,0.16906117,-0.17363691,-0.01327476,0.25429496,0.24315043,-0.2362138,-0.01621469,0.32896158,-0.073943265,0.009013962,-0.1531387,-0.13755853,-0.023506459,-0.1803528,0.10780303,-0.0679035,0.27969846,-0.11604633,0.11044825,-0.07588196,-0.15935294,-0.21154179,-0.21696264,0.1610859
9,1,-0.24278142,-0.38533202,0.23243365,-0.107181236,-0.026541572,0.20965607,0.11830949,0.04447137,0.3789141,-0.049230687,0.25864294,-0.046504926,-0.38177451,0.26084197,0.21695884,-0.045740195,-0.16463326,0.10583535,0.6899709,0.08621829,-0.24202375,-0.07526388,-0.29229167,-0.06424533,0.31098637,-0.042820305,0.03773289,-0.43665326,-0.007352701,0.08147588,0.029357817,0.4264906,0.18290952,0.33611518,-0.27846798,-0.12418898,-0.03376437,0.00021719141,0.1428944,-0.28504384,0.122393444,-0.07395866,0.17177998,-0.1556567,-0.1414904,0.056435823,0.049691617,0.017844487,-0.3837105,0.09256898
10,1,-2.8491075,-1.3762618,1.3097798,-0.5276807,1.1023825,0.023995124,0.3996118,-2.2912593,2.6092608,3.2867181,-1.0699257,-0.93113375,-3.3225741,-0.58137536,0.22854702,0.33666307,-2.4947217,1.5746887,1.346174,0.77501816,-2.1957448,0.6990474,-1.4923817,-0.37187248,0.8707716,0.5863606,1.1287185,-1.001139,-0.40387675,2.929629,0.21986115,0.4739928,-2.3192792,3.3889315,-0.38729122,-1.088724,0.66145384,-0.1689276,-2.060686,-0.43463996,0.7037118,-0.5661396,-0.60234344,0.31769916,0.79971963,-0.56110585,-0.661314,0.60789657,0.20258707,-0.19386807
11,0,-0.5154109,0.08510805,0.32435808,-0.11792515,0.4313791,-0.18759301,-0.7599294,-0.21148315,0.40530616,0.55304587,0.19320814,-0.3501147,-0.44738466,0.23567104,0.21250276,0.07379284,0.057338946,0.1233461,0.50939393,-0.658085,-0.2685465,0.21324354,0.5198817,-0.17826305,-0.6902382,-0.3674595,0.41163397,-0.7465006,-0.2638542,0.32849485,0.5419374,-0.23954526,-0.7293057,-0.14512162,-0.42800954,0.5489142,0.20600565,-0.009031026,-0.29065418,-0.04758924,0.58171445,-0.098422565,0.014892548,-0.0063398825,-0.09459972,0.21643664,-0.42067567,-0.8180003,-0.49718696,0.3069498
12,0,0.024672883,0.14136821,0.20346035,-0.05546712,-0.03282405,-0.1503109,-0.07959702,-0.05480095,0.14997658,-0.16406524,0.22473256,-0.17794284,-0.17311412,0.05177349,0.05505998,0.0031541653,-0.17278484,-0.04445847,0.08949899,0.15209445,-0.054699864,-0.054682665,-0.10908855,0.004323951,-0.24725749,0.17711008,0.24069928,-0.13894013,-0.07271276,0.06413444,0.07917177,0.011311002,-0.025425984,-0.009228402,0.12269534,-0.11222471,-0.11447243,-0.14992669,-0.031717945,-0.17932233,0.059190687,-0.14040665,0.117635176,-0.0443162,-0.08732286,0.16871558,-0.034599535,-0.14346854,-0.18805963,0.086672276
