no,text
1,implement true multicast functionality for < all > processor . currently < all > processes messages sequentially . it could be an issue if message processors inside < all > take long time to respond ( e.g . multiple request-response endpoints ) . we discussed it with mikes and agreed that the behavior should be configurable ( e.g . < all multicast= '' true '' > ) - if set to true   < all > will spawn multiple threads inside . if one of the mps inside < all > throws an exception   it should return muleexceptionmessage which should be included in the response collection   then exception strategy should be invoked .
2,does mule support xa transaction on xa resources used by a spring object component ? . as you should know   a common use case is the bridge pattern : * read a message from an inbound endpoint ( from a jms queue or/and a database through jdbc ) . * writing the message to an outbound endpoint ( to a jms queue or/and a database through jdbc ) . { code : xml } < service name= '' mybridgeservice '' > < inbound > < jms : inbound-endpoint queue= '' /queue/inbox '' / > < /inbound > < outbound > < multicasting-router > < jms : outbound-endpoint queue= '' /queue/outbox '' / > < jdbc : outbound-endpoint querykey= '' insertmessagestmt '' / > < /multicasting-router > < /outbound > < /service > { code } what happens then if something goes wrong when writing the result to the outbound endpoint ( eg . jdbc endpoint ) ? if you do n't use xa transaction on inbound and outbound endpoints   the message will not be rollbacked to the inbound endpoint in case of an exception . so you will have to solve this issue by configuring < xa-transaction > on each endpoint with the appropriate transaction strategy . { code : xml } < service name= '' mybridgeservice '' > < inbound > < jms : inbound-endpoint queue= '' /queue/inbox '' > < xa-transaction action= '' always_begin '' / > < /jms : inbound-endpoint > < /inbound > < outbound > < multicasting-router > < jms : outbound-endpoint queue= '' /queue/outbox '' > < xa-transaction action= '' always_join '' / > < /jms : outbound-endpoint > < jdbc : outbound-endpoint querykey= '' insertmessagestmt '' > < xa-transaction action= '' always_join '' / > < /jdbc : outbound-endpoint > < /multicasting-router > < /outbound > < /service > { code } but what happens now if you have a component between inbound and outbound enpoints ? { code : xml } < service name= '' mydaoservice '' > < inbound > < jms : inbound-endpoint queue= '' /queue/inbox '' > < xa-transaction action= '' always_begin '' / > < /jms : inbound-endpoint > < /inbound > < component > < spring-object bean= '' messagedao '' / > < /component > < outbound > < multicasting-router > < jms : outbound-endpoint queue= '' /queue/outbox '' > < xa-transaction action= '' always_join '' / > < /jms : outbound-endpoint > < jdbc : outbound-endpoint querykey= '' insertmessagestmt '' > < xa-transaction action= '' always_join '' / > < /jdbc : outbound-endpoint > < /multicasting-router > < /outbound > < /service > { code } in most cases   the spring object component ( eg . messsagedao ) will execute complicated business operations ( from a currently existing business api ) and also use a datasource to execute several sql select and update statements before returning a result to the outbound . these jdbc operations will be handled likely by spring jdbctemplate or even hibernatetemplate . as far as i understand   mule is fully responsible to handle enlistment/delistment and close of xa resources ( see _org.mule.transaction.xatransaction_ ) . so by default   xa resources used by a spring object component will not be handled by mule and will not participate in the xa transaction started from mule . for completeness ... i 've also found a unit test for this usecase in mule distribution under mule_home/src/mule-3.1.2-src.zip/org/mule/test/integration/transaction/xatransactionswithspringdao.java . when you execute this test   you will have a successful result but the xa resource used by the dao bean is not enlisted nor delisted in/from the transaction started from mule .
3,include validation module in mule core distribution . emiliano created a validation module   something that 's missing inside mule . validation module support built-in validators . also it supports different types of exceptions for each validation allowing to generate a different response for each kind of exception . module : http : //mulesoft.github.com/mule-module-validation/
4,until-successful should set exception payload with last exception received before sending to dlq . the title says it all ... see this thread for discussions : http : //forum.mulesoft.org/mulesoft/topics/until_successful_exceptions_handling deprecate dlq ( includes doc changes )
5,until-successful should support synchronous use cases . imagine a simple synchronous http proxy use case   e.g . : < flow > < http : inbound-endpoint ... / > < http : outbound-endpoint ... / > < /flow > if outbound endpoint is wrapped in until-successful   the flow wo n't work anymore . until-successful must support synchronous scenarios as well .
6,upgrade apache-commons-pool . since error handling in current version of apache commons-pool is buggy ( borrowconnection method throws a nosuchelementexception losing the original cause ) we may need to update the library . version 1.6 does not fix the issue . however   current code in trunk tackles the issue ( we 'll have to wait for a new release ) .
7,add a default object store for non internal usages . current version provides object stores default ( persistent/in memory ) to use while processing events internally but there is no object store which could be used by users as default .
8,soapversion ignored on cxf proxy . invoking this proxy with a soap 1.2 message fails with a warning in the logs and a soap fault for the caller : { code : xml } < soap : envelope xmlns : soap= '' http : //www.w3.org/2003/05/soap-envelope '' > < soap : body > < soap : fault > < faultcode xmlns : ns1= '' http : //schemas.xmlsoap.org/soap/envelope/ '' > ns1 : versionmismatch < /faultcode > < faultstring > a soap 1.2 message is not valid when sent to a soap 1.1 only endpoint. < /faultstring > < /soap : fault > < /soap : body > < /soap : envelope > { code } nb . removing the soapversion attribute and invoking the same proxy with a soap 1.1 message works with intense happiness .
9,ftp inbound endpoint fails when reading empty file . put an empty file into ftp inbound path
10,outbound endpoint with scheduled dispatch job delivers messages again and again . if you send test messages to vm : //test.in ( say every second with a different payload for ex 1 2 3 ... ) you 'll notice that what 's delivered to vm : //accumulatedmessagehandler is : { { 1 2 3 4 5 } } then { { 1 2 3 4 5 6 7 8 9 10 } } then { { 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 } } ( in a random order but the idea is here )
11,inconsistent behaviour of foreach with inside flowvar . the index of the foreach inside the flow of the flowref is not consistent . it seems that there is a lack of atomicity with the invocation variables causing as a result jump of indexes of the iteration and overwrite of invocation variables . in the example below my payload is the result of a sql query so an arraylist < caseinsensitivehashmap > . i save the value of each row in a flow variable to make it always available in next operations ( the original project has more flowref ) . the problem comes out because in the contained flow accessed by the flowref   the invocation variable carrying the index of the iteration and also the name of the element that i saved is not consistent during each iteration . sometimes some idexes are jumped and also the element of my array tooks more time the same value .
12,messages generated from http-messages.properties should be escaped when returned to the client as http response . currently if you send the the following http request : { code } get /unionstation/ens/form http/1.1 accept : * / * accept-language : en-us ua-cpu : x86 user-agent : mozilla/4.0 ( compatible ; msie 7.0 ; windows nt 5.1 ; sv1 ; .net clr 1.1.4322 ) host : staging-unionstation.optuminsight.com authorization : < script > alert ( 88585 ) < /script > pragma : no-cache referer : https : //staging-unionstation.optuminsight.com:443/unionstation/ens/form x-scan-memo : category= '' audit '' ; function= '' createstaterequestfromattackdefinition '' ; sid= '' cf1b85d9856fc7300be04e08ae969344 '' ; psid= '' 1d12ad7b110413debb8e6634539f76cf '' ; sessiontype= '' auditattack '' ; crawltype= '' none '' ; attacktype= '' headerparammanipulation '' ; originatingengineid= '' 1354e211- 9d7d-4cc1-80e6-4de3fd128002 '' ; attacksequence= '' 3 '' ; attackparamdesc= '' authorization '' ; attackparamindex= '' 6 '' ; attackparamsubindex= '' 0 '' ; checkid= '' ( null ) '' ; engine= '' cross+site+scripting '' ; retry= '' false '' ; smartmode= '' nonserverspecificonly '' ; attackstring= '' % 3cscript % 3ealert ( 88585 ) % 3c % 2fscript % 3e '' ; attackstringprops= '' attack '' ; connection : keep-alive cookie : customcookie=webinspect76158zx7b636566555940d48015fd4b8fb9c0f6y76af unitedhealth group 5report date : 9/28/2012 vulnerability ( legacy ) { code } you will receive the following response : { code } http/1.1 403 forbidden date : thu   27 sep 2012 07:55:26 gmt server : mule core/3.3.0 http.status : 403 x-mule_encoding : utf-8 www-authenticate : basic realm= '' x12files '' content-type : text/plain ; charset=utf-8 content-length : 116 connection : close http basic filter doesnt know how to handle header < script > alert ( 88585 ) < /script > . message payload is of type : string { code } containing potential malicious javascript code that the browser will run . anytime a message is returned to the client the inputs should be parsed to prevent this kind of problems
