no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,3,-0.07493223,0.12453493,0.50887215,-0.23340544,0.018862935,-0.3913234,0.10036187,-0.0199197,0.35643858,-0.008368641,0.58802134,-0.41714603,-0.29242697,-0.089727335,0.15319753,0.32727718,-0.1492715,-0.15168932,0.114632994,-0.08713957,0.1778137,0.19685912,-0.250658,-0.0777582,-0.2082567,0.19593057,0.29151773,-0.44579455,-0.22426055,0.17364863,0.2354848,-0.048673496,0.09881531,0.09923408,-0.47064197,0.013746238,-0.045750692,-0.3009557,-0.09941307,-0.19951625,0.23392437,-0.017670346,0.05634791,0.09855718,-0.046838902,0.5215705,-0.23011185,-0.45032257,-0.47187448,0.15404952
2,8,-0.087162964,0.087935425,0.2727363,0.0035359412,0.049214408,-0.2806645,-0.097931996,-0.16518371,0.14027466,0.011234378,-0.011042332,-0.27717087,0.14221425,0.0042993193,-0.15789627,0.16663103,-0.033533055,-0.014954055,0.099889874,0.056545652,0.1810998,0.08302952,0.037250675,0.0086417245,-0.2671505,0.12434506,0.32828176,-0.1472387,-0.18949255,-0.0009177639,-0.11893913,-0.01880835,-0.14920107,0.1449063,-0.30054137,-0.1317218,-0.037903953,-0.046313778,0.07227374,-0.15106334,-0.06796315,-0.050785527,0.019688386,0.041050144,0.016801035,0.23882283,-0.118996486,-0.31970045,-0.1588552,-0.022123719
3,5,0.07690406,0.15412056,0.33268088,-0.10751461,-0.09039564,-0.28551403,-0.03049227,-0.068832986,0.27702752,0.0074875755,0.1425335,-0.266591,-0.08177907,0.04248687,-0.041838393,0.12985373,0.040327094,0.07416668,0.098659,-0.11922139,0.16900696,0.13362804,-0.044208255,-0.07311956,-0.24114227,0.20459233,0.25347105,-0.19331433,-0.04303461,0.026475202,0.009085729,-0.02963172,0.041750938,0.13707522,-0.37061328,-0.08559843,-0.14254643,-0.21700293,-0.1503079,-0.08107745,0.20207365,-0.06733754,0.04828261,-0.012030244,0.077955365,0.16465794,-0.09472921,-0.29794955,-0.26226884,0.0037357616
4,3,0.038381837,0.1196577,0.31016743,0.00178405,-0.03763204,-0.18556122,-0.089657485,-0.021127842,0.13952214,-0.014966919,0.18357421,-0.16858517,-0.13188595,-0.014669957,-0.013900166,0.13701232,-0.075658776,-0.015606287,0.17683949,0.034279205,-0.022278339,0.12381281,-0.018074831,-0.047648966,-0.2522218,0.085218996,0.24627128,-0.16791509,0.031144107,0.046157736,0.002810867,-0.06566245,-0.071418576,0.05273726,-0.1973658,-0.019872617,-0.092367716,-0.18711486,0.004058696,-0.06334761,0.05192894,-0.06953097,0.12779741,-0.032819156,-0.11024372,0.14032239,-0.027819633,-0.26313388,-0.18538342,0.092929326
5,8,0.11165233,0.23870943,0.4525681,0.065943286,0.050984096,-0.27218273,-0.15379858,-0.10257776,0.1989465,0.027856784,0.3219166,-0.39225826,-0.209841,-0.015644632,0.006961995,0.20326391,-0.022383085,-0.119499855,0.28713945,-0.06361825,0.010944794,0.1676508,-0.0022585052,-0.017475557,-0.3999784,0.21928452,0.41041368,-0.31480873,-0.05350235,0.13832958,-0.041355595,-0.1304637,-0.08489839,0.04415643,-0.41799015,-0.08611639,-0.084024705,-0.32235065,0.04866549,-0.111867964,0.03443454,-0.18828367,0.19803707,-0.08539026,-0.040310573,0.27693412,0.013909046,-0.47273132,-0.38998556,0.038726535
6,3,0.11415225,0.28207657,0.59459054,-0.010505456,0.013322854,-0.28559005,-0.0560418,-0.09490423,0.31860113,-0.07512884,0.31469283,-0.43773457,-0.21916467,-0.0031114488,-0.055834148,0.07554214,-0.030367794,-0.07652156,0.26487875,0.034298915,0.10945424,0.23706871,-0.056635424,0.038524017,-0.23825298,0.1612586,0.3501891,-0.42583507,-0.060315736,0.08623314,-0.018627519,-0.17989649,0.1574355,0.15023999,-0.27660125,-0.26790228,-0.13377512,-0.3438235,0.023236847,-0.18559045,-0.09578902,-0.08332336,0.010627323,-0.068135925,0.058681477,0.34064084,-0.041936357,-0.29700598,-0.29445526,-0.021932177
7,20,0.075934105,0.06908056,0.2775455,-0.063676305,-0.12813106,-0.16129449,0.0010834094,-0.045252968,0.14916737,-0.04345629,0.137559,-0.19152439,-0.1989067,-0.06128079,-0.011852469,-0.05140912,-0.0550163,-0.013659289,0.15973918,-0.015696079,-0.0012180326,0.07504467,-0.017904185,0.06173253,-0.14843237,0.12477679,0.14714281,-0.063709326,-0.12134563,0.057376992,0.06867833,-0.055507414,-0.048315153,0.1286906,-0.17868304,-0.09696396,-0.044408686,-0.16203572,0.045947812,-0.2339518,-0.013924998,-0.053178575,0.036560006,-0.01646564,0.038057458,0.14999232,0.017871346,-0.08574488,-0.108631134,0.0135499565
8,3,0.08739149,0.093218386,0.17770569,-0.06318366,0.029343285,-0.117584445,-0.056563407,-0.026150223,0.09492083,-0.020809118,0.23115353,-0.061883774,-0.11780724,-0.011277637,-0.027726814,0.058837686,-0.060244493,-0.044255316,0.14403151,-0.018043349,-0.055419296,0.049800795,-0.07114207,-0.019587003,-0.13701354,0.0057959645,0.19664437,-0.12965833,-0.031509828,0.013154594,-0.046927076,-0.061500233,-0.034551814,0.021772128,-0.117159225,-0.0019798465,-0.010225161,-0.16060628,-0.053508338,-0.027303923,0.0077458797,-0.013165484,0.0859472,-0.00497086,-0.088515505,0.10268846,0.06833163,-0.15968664,-0.23218794,0.08168284
9,5,0.061447162,0.21041842,0.40593404,-0.052084718,0.052249834,-0.20614019,-0.015918477,0.014076011,0.22107933,0.01732327,0.34582844,-0.36826265,-0.15998611,-0.03953172,0.09167104,0.096511744,-0.19917117,-0.12839615,0.2628615,0.1124197,-0.08744449,0.073252946,-0.16501488,-0.05469274,-0.39650667,0.01711579,0.25754642,-0.35431483,-0.10245585,0.10387399,-0.17686403,-0.012018086,-0.067753196,-0.014579929,-0.20206544,-0.16148293,-0.07902397,-0.18072806,-0.08235136,-0.015179109,0.15123263,-0.26336095,0.067990616,-0.021649431,-0.16977619,0.25921717,-0.0566328,-0.25025386,-0.2712127,0.10103201
10,40,0.15377685,0.0782659,0.19749239,-0.043743473,0.03376193,-0.357578,-0.016414115,-0.22014901,0.14765714,-0.017292596,0.22070548,-0.3894486,-0.0054490357,-0.060785078,-0.051339176,0.08865691,-0.032631844,0.04205323,0.20729437,0.15354912,0.19416463,0.122072645,-0.02528038,0.017187888,-0.18600821,0.18663736,0.35316116,-0.12457173,-0.16050218,-0.055727374,-0.007902517,-0.13271236,0.110071704,0.16421705,-0.3639019,-0.08545007,-0.1581263,-0.23408926,0.01911202,0.024440588,0.039124746,0.021885784,-0.06052475,0.04142168,-0.046778448,0.2061361,-0.013292378,-0.21331093,-0.24323006,0.14992689
