no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,0,0.13387588,0.3827507,0.49468303,-0.06654057,0.050574526,-0.110801086,-0.18312307,-0.052137345,0.25836453,-0.0023412888,0.45521313,-0.39129975,-0.417843,0.18698335,0.19371776,0.1563512,-0.17109057,-0.018135695,0.42099008,0.0135315405,-0.22050612,0.25340298,-0.058682982,-0.031925034,-0.5496629,0.02958681,0.4251211,-0.25577062,0.06366893,0.14609504,0.1470074,0.07007592,-0.019357301,-0.16840589,-0.15107842,-0.06591268,-0.040666882,-0.409725,0.06512652,-0.15168819,0.24334706,-0.288107,0.27424887,-0.11683909,-0.3105059,0.22524165,-0.09751563,-0.41251123,-0.2810549,0.16681431
2,1,-2.1934684e-05,0.03810978,0.2691801,-0.11080301,-0.104287885,-0.24115583,0.11586508,-0.06941688,0.13204604,-0.043975484,0.10342805,-0.049414407,-0.006878331,0.0615883,0.079892375,0.21065074,-0.21611817,-0.19396885,0.18940158,0.22084294,-0.23108675,-0.026602538,-0.2288302,-0.12929884,-0.26685882,0.11315787,0.20935719,-0.22556888,-0.07252617,0.07623621,0.08921452,-0.10919569,-0.06819186,-0.09018966,-0.17609258,-0.14144173,0.054594,-0.24925128,0.030207315,-0.07261828,-0.027470753,0.019396726,0.1348512,-0.004584835,-0.1608576,0.08805701,-0.09078559,-0.1196723,-0.20419432,-0.005625273
3,0,-0.23553573,0.45158297,1.0064546,0.17470178,-0.3274344,-0.4433146,-0.23131879,-0.31230924,0.3941985,0.18339323,-0.13170898,0.29941058,0.23302425,0.26948088,0.64839673,0.43974397,-0.07583379,-0.052046508,0.001500516,-0.57593024,-0.28797016,0.44958055,-0.025109043,-0.29085192,-0.6819145,-0.09730654,0.31570974,-0.42067662,0.08131219,-0.18090156,0.39945433,-0.076578945,0.32318604,-0.42671275,-0.3717311,-0.343709,0.12547132,-0.24057288,0.21041523,0.103085384,-0.017908901,0.10566757,0.46396703,0.10745155,-0.28059936,0.3315846,0.3298781,-0.8190228,-0.66280377,0.32381856
4,0,-0.25798056,0.32007095,0.938856,-0.23396803,-0.06968728,-0.35754424,0.5400799,-0.08845717,0.30546176,-0.15124667,0.12256373,-0.30716708,-0.1167544,0.47213957,0.32105026,0.56221074,-0.4973031,-0.50723255,0.22809848,-0.24590088,-0.29140443,0.19628051,-0.16065423,0.32824248,-0.42744577,0.055044547,0.59608775,-0.9959643,0.00168668,0.0031572722,0.0389999,-0.39957133,0.2753051,-0.5939688,-0.005544834,-0.538008,0.46381375,-0.2899064,0.07515451,-0.0601391,-0.35097092,0.5116172,0.09747638,-0.16418603,-0.56445086,0.47454196,0.3721714,-0.7681053,-0.5095778,0.11172181
5,1,-0.08375381,0.24167581,0.19725518,0.011877458,-0.1132605,-0.19139153,0.022898912,0.0033249813,0.24890088,-0.084976725,-0.09748091,-0.075344786,-0.06065905,0.11213303,0.36746618,0.22298254,-0.15727563,0.1504789,0.09402715,0.076150104,-0.07291937,0.2526688,-0.1659195,-0.122291885,-0.2139276,0.11278027,0.17291479,-0.087735936,0.1196684,-0.22468863,-0.12161711,-0.08046623,0.12304084,-0.045539264,-0.08407963,-0.30512443,0.14033534,0.060076572,0.1642763,0.0016665158,-0.052634325,0.017611459,0.03560949,0.056247313,0.08224858,0.09794266,0.00046768936,-0.31757173,-0.2536222,0.007614478
6,0,0.036167074,0.26795554,0.56785524,-0.22701894,-0.062820934,-0.31340334,0.15160432,-0.02630039,0.24778748,0.03807737,0.07481794,-0.16881438,-0.15490168,0.17692673,0.24452879,0.1815605,-0.0742338,-0.12539555,0.24333748,-0.077026054,-0.15272906,0.070873596,-0.17658375,-0.09917014,-0.3764801,0.11740574,0.33142108,-0.34236062,0.024398644,0.07164658,-0.018579725,-0.18427539,-0.14107192,-0.036792804,-0.21248996,-0.061092,-0.068185836,-0.20022057,0.003921905,-0.09207622,0.051762275,0.010743519,0.14722483,-0.018059244,-0.06086154,0.24683918,-0.1501038,-0.43628445,-0.27927306,0.06586653
7,0,-0.2427843,0.10378967,0.3674391,-0.16414762,-0.025849462,-0.3114234,0.32373887,0.14608471,0.33485198,0.10365935,0.13127542,-0.12675476,-0.040774718,0.17987013,0.30414107,0.39717257,-0.31614023,-0.0817453,0.052124687,0.07381888,-0.17659074,0.1663261,-0.2940714,-0.018239604,-0.346831,0.12791243,0.092199884,-0.38973507,0.11757856,-0.0074917898,0.12015626,-0.31040946,0.31509957,-0.10261618,-0.3933212,-0.10706875,0.12302317,-0.06240702,0.00055633247,-0.17039523,0.10489565,0.25311613,0.34331042,0.0009916681,-0.15766576,0.42680222,-0.026862308,-0.30730572,-0.082055315,-0.028086135
8,0,0.043240536,0.09134305,0.13684323,-0.11681587,-0.053715862,-0.06256404,0.20164037,-0.04159051,0.007064917,-0.029273797,-0.24059813,0.038668435,0.27294612,0.039136153,0.072151534,0.22183624,-0.040731076,-0.008923411,0.00536621,-0.117994815,0.10857075,0.05448723,0.002088751,0.0817576,0.08321781,0.02186095,0.051380847,-0.031061862,0.021116156,-0.06848147,0.043468438,-0.11567814,0.08705046,-0.1501068,0.010006672,-0.11825436,0.11135666,0.08615001,0.1948869,0.14552547,-0.20216826,0.04522062,-0.021849416,-0.1184992,-0.118109025,0.034059845,0.04574752,-0.23260276,-0.16111168,-0.06062298
9,0,0.08458916,0.30433112,0.36798382,-0.23023319,-0.09356411,-0.30160195,0.13246013,0.093746714,0.14933962,-0.0063484004,-0.20881939,-0.19358896,-0.14999194,0.18305182,0.2881406,0.2949149,-0.18141411,-0.3487397,0.21444379,-0.15206222,-0.2823486,0.08521841,-0.12427006,-0.0549927,-0.2552736,-0.09601803,0.28967494,-0.279421,-0.024083579,-0.24001506,0.123957604,-0.16472204,0.13708256,-0.12546478,0.16446416,-0.27970263,0.08188547,-0.0060739666,0.19898817,-0.09763913,-0.35334983,-0.018319935,0.2588264,-0.026371352,-0.14007619,0.15146305,0.1829864,-0.48346296,-0.6305514,0.048085026
10,0,-0.06447427,0.29012838,0.43784845,0.027350733,-0.12981227,-0.18605414,0.021226766,-0.15603217,0.14908034,0.021514814,-0.07099122,-0.08574032,0.005731553,0.1978339,0.10694792,0.38139236,-0.13069579,-0.1446492,0.07256009,0.0039019869,-0.10417877,0.17059132,-0.0030964508,0.11765683,-0.17695688,0.113729574,0.35909635,-0.10035605,-0.08622907,-0.053806975,-0.14542015,-0.04039848,0.08130662,-0.24559794,-0.122627296,-0.098595075,0.11582499,-0.050529905,0.25256005,0.03637412,0.04454868,0.008141552,0.16416714,-0.09699347,-0.18731196,0.058609325,-0.015149468,-0.3293301,-0.36709127,0.11050182
