no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,1,0.30394658,0.20248993,0.85656995,-0.014153127,0.01567032,-0.50819767,-0.10214918,-0.2434447,-0.10949491,-0.14524339,0.23661624,-0.5029369,-0.5158135,-0.27380452,0.16814195,0.28725216,-0.40268043,-0.025022613,0.19530128,-0.36110044,-0.4577577,0.38596934,-0.43554235,0.0012546739,-0.3673416,0.13687244,0.2451947,-0.60023993,-0.28150508,0.15070976,-0.5870275,-0.12036849,0.12759502,-0.33050117,-0.021156803,-0.18369223,0.0405591,-0.30533767,-0.008964564,-0.28421336,0.09519307,-0.00010850385,-0.10502764,-0.5733154,-0.15332288,0.09785121,0.32893166,-0.4337872,-0.012906103,0.5879608
2,1,0.1681876,0.13842058,0.34756473,-0.042954788,0.028158048,-0.21688545,-0.1418085,0.024048168,0.33355182,0.052978486,0.34881026,-0.27353626,-0.40388682,0.018225564,-0.006726385,0.06374313,-0.22668049,-0.05020622,0.16097704,0.06133582,-0.2341994,0.058173608,-0.21630393,-0.019454272,-0.30723315,0.059147608,0.26501578,-0.20644507,-0.036294796,-0.065343015,0.14701179,-0.023133416,-0.1410088,0.08489219,-0.23602891,-0.052365348,-0.0628982,-0.19243759,0.09063101,-0.057889383,0.07487633,-0.1747292,0.24523017,-0.038528204,0.06425919,0.1518979,0.13350901,-0.32036248,-0.46625492,0.2320477
3,1,0.038641945,0.3125212,0.48476246,-0.030595195,-0.11942085,-0.38341796,-0.2656192,0.06287356,0.39801452,-0.0071806787,0.36488053,-0.48089585,-0.39879405,-0.053687926,0.2716958,0.18066932,-0.12321621,0.07469381,0.35455295,0.062892176,-0.03562703,0.31100664,-0.18210512,-0.1822734,-0.55807,0.075249426,0.36538818,-0.22495499,-0.13495634,0.168106,0.087632224,-0.16433707,-0.120667815,-0.020141646,-0.15117301,-0.0560499,-0.024997024,-0.1738065,0.09026164,-0.14836189,0.2942648,-0.14376575,0.20203254,0.028947173,-0.018073948,0.13408357,0.0153471315,-0.31649527,-0.43299413,0.15627119
4,1,0.27022514,0.27215588,0.6345763,-0.05183346,-0.26080668,-0.35344693,-0.20989195,-0.106315315,0.10189853,-0.3629765,0.22662371,-0.46290076,-0.36003822,-0.1404986,0.13733545,0.16820364,-0.1462701,-0.23285493,0.3182536,-0.12417692,-0.19675381,-0.0043458277,-0.18048821,-0.10889885,-0.48264235,0.12055599,0.3601085,-0.6396014,-0.109285474,0.23854755,-0.25482327,-0.12614112,-0.062498085,0.097500905,-0.1932665,0.15543546,-0.058993187,-0.436108,0.16514644,-0.3566963,0.19257028,-0.45825753,0.35714874,-0.02554272,-0.06762367,0.09645473,0.09084743,-0.26150087,-0.43298128,0.34706825
5,1,0.27468818,0.22649845,0.7018683,-0.032549165,-0.040463302,-0.31449246,0.11378667,0.09690646,0.1582594,-0.18840602,0.19698368,-0.42407352,-0.43818963,0.035012476,0.21615599,0.19958237,-0.238217,-0.27120543,0.15494393,-0.020422885,-0.36258045,0.16895913,-0.12224461,-0.14574698,-0.43236512,0.28664413,0.35219216,-0.3852158,-0.3102271,0.27106717,0.1633668,-0.12122781,-0.002547879,0.10487217,-0.14431918,0.085172996,-0.2646129,-0.17589799,-0.034047734,-0.29343727,0.46856958,-0.47088188,0.26855758,0.037349187,0.0723198,0.10709,0.10414403,-0.16049519,-0.48990023,0.39849573
6,1,0.14721552,0.31858516,0.38864583,-0.053553395,0.113564946,-0.23477937,-0.062255755,-0.1473041,0.26239467,-0.015085863,0.34008121,-0.39370412,-0.5180666,-0.03234312,0.24572927,0.0105422195,-0.285571,-0.06818156,0.48187765,0.040378407,-0.11606352,0.22024004,-0.1929641,-0.027048258,-0.4624876,0.16802119,0.41095045,-0.34093055,0.026153577,0.048925497,0.017522018,0.038162146,-0.18448764,0.035098374,-0.5146373,0.027584901,-0.080933124,-0.4022799,-0.03908424,-0.0720031,0.23733786,-0.04814717,0.3489693,-0.18712237,-0.1452495,0.1537977,-0.06574541,-0.46360722,-0.4909012,0.34053585
7,1,0.47748452,0.24142016,0.5665502,-0.3176162,-0.06547652,-0.40151426,-0.16075057,-0.14354447,0.24039167,-0.07104235,0.40143636,-0.283888,-0.29315895,-0.24355906,-0.056548197,-0.07269246,-0.046490803,-0.030227236,0.5465636,-0.0945737,-0.22860429,0.44466805,0.041666385,-0.23865287,-0.21467534,0.07084709,0.5472211,-0.20881763,-0.24257112,0.05908643,-0.048788268,0.031762123,-0.04115838,0.23481187,-0.3037347,0.15326126,-0.09400931,-0.2291967,0.14466444,-0.2584874,0.07850988,-0.2189147,-0.036013562,-0.09614505,0.056867566,-0.019219734,-0.07066826,-0.5131766,-0.5661767,0.27792057
8,1,0.03208214,0.13607007,0.17435338,-0.10307852,0.002553523,-0.062207107,-0.12155498,-0.007117413,0.15540583,0.0037160274,0.33559012,-0.25366694,-0.2228895,-0.091331705,0.16372395,0.0958328,-0.094395116,0.025879787,0.35597655,-0.05044228,0.018640112,0.028131792,-0.040698007,-0.074522115,-0.17761274,0.1125977,0.28528798,-0.3689726,-0.06261787,0.074625425,0.0049453024,-0.048593502,-0.006935087,-0.039542325,-0.18578215,0.05687026,-0.08848411,-0.10767511,-0.020830518,-0.08926969,0.16842417,-0.094803266,0.1141259,-0.0189437,0.06764521,0.12063683,0.05757683,-0.26594177,-0.26434237,0.09500743
9,1,-0.0034791862,0.15341114,0.623976,-0.085114874,-0.29390416,-0.57762825,-0.16797622,-0.3511953,0.3346866,0.071505435,0.7328298,-0.60085607,-0.52314776,0.14139107,-0.0237367,0.23759405,-0.050709207,-0.11318244,0.6437931,-0.082246035,0.15792815,0.30484837,-0.07885995,-0.07878049,-0.5829496,0.11489277,0.55288464,-0.14735267,-0.3210614,-0.119645245,0.023134625,-0.42084882,0.3415844,-0.015529312,0.04637159,-0.019694718,0.050125133,-0.592407,0.30657908,-0.24549143,0.702747,0.08365107,-0.037510287,-0.0016662845,0.08449265,0.035928752,-0.28501993,-0.19625407,-0.48347428,0.21287069
10,1,0.30703473,0.012104353,0.4980245,0.15044843,0.20092677,-0.51132977,0.07624701,-0.07752252,0.51839095,-0.23254046,0.6392788,-0.39024514,-0.73808557,-0.060758766,0.5021511,0.2756495,-0.30175653,-0.23275167,0.73559123,-0.24568282,-0.4044187,-0.12752877,-0.28679472,-0.2513682,-0.6221018,0.15741132,0.74077433,-0.6751702,-0.40163836,0.20853488,-0.3498155,-0.15417448,0.4046308,0.6550962,-0.41655543,0.012173672,-0.2396588,-0.2102088,0.34414828,-0.16929334,0.46289617,-0.17504017,0.22762631,-0.049579866,-0.123508185,0.17474249,0.20728728,-0.10309061,-0.5035405,0.4271688
