no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,2,0.041487906,-0.05837448,0.1452637,-0.10156083,-0.028735053,-0.07562511,0.010705132,-0.14349279,0.09157005,0.084867276,0.0040250565,-0.045786276,-0.037860367,-0.0041462174,-0.036681063,0.07178874,-0.07781959,0.026389292,-0.10329367,-0.036523912,-0.06281322,0.017565956,-0.11294499,0.01906464,0.011248926,-0.0021591717,-0.007346012,0.06750651,-0.033948228,-0.032924637,0.08883423,-0.028152183,0.024712535,0.069125794,0.0420201,-0.071594074,-0.03709189,0.041486874,0.02582532,-0.009099341,-0.04528887,-0.04363587,0.03072319,0.04028604,0.025402933,-0.014809124,0.0753417,-0.026965598,0.0037092976,0.02061498
2,0,-0.35525307,0.34867036,0.52651644,0.005645675,0.26059377,-0.75481534,0.25243336,-0.06523526,0.5249981,-0.013082881,0.42676732,-0.25024402,-0.560335,0.05685574,0.21283922,0.08341876,-0.15919311,0.36654645,0.53995806,-0.08191993,0.028691106,0.22945714,-0.24779204,0.15023983,-0.16982944,0.5139844,0.23382606,-0.79670405,-0.028140033,-0.29626417,-0.12805034,-0.51321924,-0.023358274,0.045646276,0.23697732,-0.10152618,-0.54462177,-0.3456763,-0.23722222,0.03442344,0.39256787,0.00944503,0.02746018,-0.1645481,-0.12650347,0.4179463,-0.1588205,-0.38228604,-0.4182256,0.14056826
3,0,-0.08959315,0.23653767,0.26707262,-0.13436191,0.061158907,-0.51276267,0.036561772,-0.21581772,0.31538844,0.040306028,0.6443281,-0.32582244,-0.5843763,-0.083119944,0.3495576,0.13047802,-0.005056787,-0.08553395,0.1312987,0.09678649,-0.4671253,0.20340428,-0.3186262,-0.10876694,-0.01966081,0.3033747,0.22212249,-0.42020148,-0.15392397,-0.3546736,-0.078550115,-0.258341,0.07238391,-0.018374925,0.23283696,-0.28971803,-0.4991355,-0.4845089,-0.025526693,-0.09666586,0.21674055,-0.26187924,0.29558027,-0.35587263,-0.065741055,0.19223219,-0.0020940602,-0.38002306,-0.3575929,0.37265617
4,2,0.034616314,0.1616755,0.14943337,0.057147667,-0.056675605,-0.11975764,0.015301154,-0.09099467,0.080362886,-0.05190316,0.14393352,-0.07522283,-0.13063312,0.08657844,0.044270325,0.03789708,-0.09856732,-0.0667217,0.113314144,0.08699797,-0.08641372,0.09344513,-0.065701276,-0.015002296,-0.16853923,0.16984566,0.07256381,-0.06854964,0.0142722875,-0.0042945636,0.082807675,-0.0752841,-0.036843732,0.071787,-0.030668737,0.0018913602,-0.019299261,-0.07075627,-0.059441403,0.09352336,0.004177626,-0.047687814,0.093845926,0.025634456,-0.11474171,0.1402212,0.037728548,-0.12931244,-0.21979599,-0.0031918725
5,2,0.034604028,0.17343524,0.1575707,-0.053757675,0.05513256,-0.21387637,-0.11778078,-0.12308755,0.13692322,0.06272168,0.15724997,-0.19690312,-0.16842677,0.06624212,0.03659553,0.09472215,-0.14383909,0.08579368,0.0579436,0.003073497,-0.04879026,0.01712067,-0.07714421,-0.002562301,-0.16860956,0.12463562,0.16254042,-0.12739559,0.022343708,0.032854367,0.062969305,-0.07188501,-0.08086308,-0.029318143,-0.01957901,0.047212563,-0.053268045,-0.07720716,-0.0314576,-0.0033351975,0.07748793,-0.14516531,0.13834962,-0.019353177,-0.053704906,0.07055571,-0.0047733877,-0.21558051,-0.16005103,0.20169345
6,0,0.030182645,0.06308119,0.14810543,-0.01895416,-0.012779532,-0.10990974,-0.032672238,-0.07305232,0.007987403,0.034134444,0.13176852,-0.048744038,-0.18740584,0.007338157,0.029945036,0.027318226,-0.08790234,-0.008293088,0.077755444,0.0004517259,-0.1456517,0.05239953,-0.10225945,-0.010900018,-0.118861824,-0.0073364875,0.10527189,-0.058911998,-0.006687276,-0.0006804578,0.07883709,-0.062712274,-0.04478445,-0.040260784,0.005772774,0.024165424,-0.023536563,-0.14334105,-0.096076965,0.020473769,0.06528212,-0.03378996,0.13250372,-0.053750973,-0.01613669,0.06542495,-0.02059611,-0.1197258,-0.15783757,0.07876542
7,0,-0.034333646,0.059236623,0.039235413,0.008937566,0.09674908,-0.06787231,-0.010182327,0.01593012,-0.004955937,-0.0036284525,0.12570587,-0.046105217,-0.09662973,-0.07655345,-0.014134097,-0.011228053,0.012761505,0.010995822,0.013175005,0.014352018,-0.044324547,-0.047078006,-0.07016689,0.03501521,-0.07837291,-0.07701459,0.020082062,-0.15853551,0.019064931,0.035738915,0.016900852,0.053605657,0.012722967,0.0069943396,0.017389739,-0.056256082,-0.014593457,-0.025027536,-0.0280074,0.022670139,0.008919828,0.00806498,0.033563532,-0.06496173,-0.085210815,-0.048273493,0.031267893,-0.016470581,-0.05609533,0.007928239
8,0,0.08630406,-0.006739727,0.054917146,-0.08478911,-0.0045928773,-0.07232587,0.00040325883,-0.13144588,0.18190823,0.20240268,0.011525586,-0.07561772,-0.011553112,-0.0030465692,-0.036751978,0.03671581,0.044859268,0.016978892,-0.23254052,-0.0984369,-0.053976007,0.053416114,-0.08391523,0.09209629,-0.051481873,0.066842265,0.07039324,0.07168513,-0.09059745,-0.08318154,0.03812071,-0.04627118,0.0825966,0.070332825,0.055316057,0.040076815,0.04113594,-0.02397642,0.029783573,-0.10889178,0.07614342,-0.071521066,-0.06571484,0.07594597,0.045023847,-0.009624526,-0.070193514,-0.0642492,0.10447753,0.074057356
9,0,0.04580333,-0.01517354,0.059019033,0.0003976298,0.02386118,-0.0037138932,0.018373638,0.0027748505,0.045581374,0.058739215,0.016103376,-0.033947762,-0.016055787,0.009153545,-0.0371975,0.028843857,-0.043215975,-0.0047039613,-0.0387719,-0.0098186,-0.009873085,0.0038600117,-0.08047971,0.02884845,-0.031128917,0.036923908,0.07633796,-0.019064499,-0.021582443,-0.022083834,0.0059666065,-0.01153911,0.05317731,0.053517222,0.017158523,0.023392227,0.008840181,-0.04259631,0.0074454276,0.0008749468,-0.017236467,-0.04461719,-0.03517696,0.030911176,-0.039780136,0.056975707,0.011919785,-0.019267716,0.02771799,0.030310553
10,0,-0.026727227,-0.13824289,-0.11361922,-0.116305895,-0.08469588,-0.09651213,0.1517018,-0.06355751,0.124862134,0.0893708,-0.013774282,-0.07109191,0.0075385263,0.02904173,-0.07892753,0.0029610982,0.059569985,-0.0045532263,-0.07191678,-0.01738682,-0.018765733,-0.058034156,-0.13712133,0.13443367,-0.0014789682,0.013983657,0.052057236,0.046073243,-0.062105782,-0.043778807,0.06885535,-0.09182474,0.009955563,-0.0028444673,-0.046245154,0.08432216,0.06607446,-0.069840975,-0.060456727,-0.03949982,-0.00062864204,0.033274136,-0.034297846,0.07003653,-0.062571324,0.08793911,-0.11048056,-0.01952007,0.12845035,-0.0136528
