no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,1,0.12024376,0.068970725,0.18421417,-0.02104576,-0.014758393,-0.0714035,-0.029455118,-0.08915558,0.31225002,0.055183735,0.12863152,-0.10797999,-0.081573926,0.028010799,0.03357205,0.049475502,0.028763516,-0.0059122657,-0.020876147,0.00045852643,-0.058899123,0.0843277,-0.13011165,0.027919779,-0.14791521,0.0997135,0.14288458,-0.057012368,0.022511765,-0.029670518,0.073845334,-0.012373567,-0.10057247,0.10454235,-0.045813795,-0.013637319,0.06071494,-0.10694138,0.0390585,-0.092112996,0.06259835,-0.10553812,0.08185255,0.02930043,-0.019854492,0.050500855,0.051997896,-0.14009233,-0.025033174,0.048294544
2,1,0.056289956,0.022650445,0.22266,-0.020287879,-0.016192619,-0.047977094,-0.01508561,-0.073015496,0.27492923,0.049112357,0.10312862,-0.116087236,-0.09135143,-0.0044020414,0.07378818,0.022588508,0.014767317,-0.028436406,0.0026582107,0.017732566,-0.06796266,0.061783418,-0.11828137,-0.021453952,-0.13073406,0.09133518,0.12062216,-0.07239386,-0.022306055,0.008021612,0.079454124,0.030255988,-0.04846442,0.074023604,-0.038558684,-0.025915857,0.043234043,-0.07846022,0.032671224,-0.08309917,0.053685267,-0.07550577,0.034692794,-0.008302214,-0.0019597304,0.03122746,0.021909282,-0.109035365,-0.030668916,0.058090262
3,1,0.21766576,0.44312465,0.6323776,-0.013759763,-0.27769175,-0.59658384,-0.3163301,-0.2494752,0.31133026,0.04898054,0.58635825,-0.46240094,-0.6025086,-0.036182575,-0.07766588,0.1298816,-0.23348695,-0.1709597,0.25978348,0.1302734,-0.2867101,0.36404008,-0.51131576,0.07876783,-0.2239218,0.017522465,0.251943,-0.29439637,0.0056863017,-0.00961536,0.075802475,-0.11778936,0.19834152,0.21468483,-0.20962915,-0.013920852,-0.17125851,-0.4699817,0.03753501,-0.29996672,0.33092043,-0.17791802,0.27176252,0.09959315,0.014321386,0.18377817,0.09577957,-0.27905548,-0.7745678,0.24152747
4,1,0.18973902,0.40378276,0.6067166,0.032984763,-0.1632491,-0.64222366,-0.17077889,-0.2042283,0.2650719,0.041207626,0.5621237,-0.47625503,-0.5649859,0.058651786,-0.108107306,0.17571981,-0.2653256,-0.18652473,0.21057044,0.175764,-0.24000512,0.45989692,-0.42061958,0.16415446,-0.20304681,0.103001446,0.268888,-0.16944768,-0.10918273,0.11981156,0.041179843,-0.116244204,0.18696624,0.1734836,-0.2592797,0.007909726,-0.22795185,-0.45045668,0.02738647,-0.35167304,0.30102465,-0.10240112,0.2752542,0.08908846,0.013416367,0.2502624,0.052202147,-0.24380392,-0.77997917,0.171887
5,0,-0.15813455,-0.08842251,0.3924725,0.07884804,0.077256374,-0.105848,-0.1729645,-0.03076579,0.005994991,0.13086794,0.23649845,-0.23381604,-0.1286151,0.027995624,0.1090855,0.11222019,-0.015807431,-0.16552177,0.10774566,0.0054013263,-0.115187354,0.024598083,-0.095623545,-0.042403683,-0.11846529,0.20552287,0.18028596,-0.05464153,-0.06389962,0.30985746,-0.07076444,0.10011645,0.21560605,0.02884159,-0.16046941,-0.31207177,0.027410746,0.06702068,0.0981148,-0.10648397,0.040220715,-0.09636971,0.1511708,-0.061771832,-0.15427116,0.12874675,0.07697795,-0.17537257,-0.08394005,0.24307556
6,0,-0.1342908,-0.0051229615,0.32952708,0.030276608,0.050181333,-0.11350603,-0.14051147,-0.013316844,0.06542838,0.13774922,0.30363932,-0.338811,-0.13057603,0.017927062,0.072990954,0.120246924,0.100762784,-0.21362719,0.13596715,0.070279226,-0.11859785,0.009524562,-0.17174305,0.014975785,-0.14460504,0.22719938,0.25690487,-0.059838403,-0.03850308,0.31530946,-0.064649984,0.0901795,0.24646975,-0.0033566826,-0.22605288,-0.29834658,0.014021278,0.08810618,0.08460184,-0.091272414,0.08840532,-0.06335507,0.23178716,-0.009505302,-0.18899208,0.1716838,0.14611036,-0.17709026,-0.10404642,0.20233735
7,3,0.046945088,0.060254894,0.36619097,0.127813,0.0011328451,-0.26295397,-0.069027245,-0.04043684,0.26056468,-0.062039796,0.1788524,-0.11476617,-0.16096722,0.037109807,0.10481243,0.122178964,-0.058926083,0.056086775,0.1472141,0.19622716,-0.06281019,0.010565452,-0.13969286,0.040485267,-0.06294203,0.15773676,0.2424792,-0.08628747,0.015903821,0.07910868,0.1545056,-0.04127075,-0.056391273,0.012851993,-0.17353964,-0.1834575,-0.10138656,-0.07462135,0.09027744,0.04377891,0.1087181,-0.03322484,0.14954026,0.04251624,0.010098114,0.039186873,0.05921844,-0.23955783,-0.12970312,0.21386075
8,3,0.05637711,0.08188218,0.36072633,0.13124306,-0.012931274,-0.272491,-0.21873939,-0.1344186,0.21585882,-0.024219913,0.17617887,-0.15011802,-0.18217614,0.07584487,0.14655334,0.15947358,0.0008289211,0.026333699,0.15880139,0.12731566,-0.17766577,-0.008451369,-0.05362856,0.014746054,-0.014415777,0.14361759,0.30072358,-0.10536841,0.019699063,0.075323276,0.18854037,-0.02869725,0.05806674,0.06915014,-0.15737829,-0.246295,-0.09844681,-0.12171056,0.049028844,-0.037978712,0.10622849,-0.0515155,0.18500723,0.032350156,0.049331974,0.009094973,0.06300684,-0.2924471,-0.122679725,0.21402872
9,1,-0.16443612,0.061523266,0.75064135,0.16693322,0.14416172,-0.16645177,-0.12187876,-0.24908881,0.3394739,0.21212657,0.48627904,-0.39358437,-0.366746,-0.10687806,0.2269247,0.47676593,0.09390449,-0.33069465,0.24465586,0.07899411,-0.33745933,0.026683137,-0.37892222,-0.047475386,-0.10885695,0.5020567,0.5038158,-0.46480617,-0.037142925,0.16276993,0.084371865,-0.0680695,0.061728705,-0.28896534,-0.49931723,-0.39670557,-0.06689028,-0.09902585,0.15882646,-0.39632484,-0.0710353,-0.1438879,0.2831285,-0.072693594,-0.0860953,0.05201442,0.24151623,-0.7491461,-0.07719249,0.23362696
10,1,-0.14431421,0.17441839,0.82710594,0.15415964,0.15388936,-0.29019564,0.02393938,-0.24407269,0.443279,0.19389854,0.49855223,-0.41364092,-0.44419003,-0.19897407,0.29558957,0.47287259,0.07056096,-0.24973194,0.35347268,0.112719364,-0.25928447,-0.06435345,-0.45874313,-0.07804731,-0.10515339,0.44888166,0.48428208,-0.39040607,-0.0351546,0.20941378,0.14507838,-0.086616576,0.04886913,-0.34177428,-0.6028115,-0.38716823,0.011262356,-0.15068659,0.18346253,-0.309652,0.024635058,-0.14850922,0.26702276,-0.051396362,-0.17800507,0.07225223,0.25986353,-0.7833341,-0.14985314,0.2066802
11,2,-0.19983952,0.23803559,0.1979536,0.17650093,0.29355955,-0.43532494,-0.019043008,-0.2145572,0.23939511,0.114085145,0.33863074,-0.35684568,-0.07184486,0.08493697,0.040166687,0.1613966,0.00898962,0.11720958,0.29195893,-0.025207113,-0.019078044,0.1611365,-0.2108476,0.10794181,-0.13047476,0.23816374,0.22511609,-0.40979868,-0.03946964,0.10658121,-0.22453846,0.009154023,-0.16949187,-0.29236946,-0.1830991,-0.0117432885,-0.2234262,-0.07878376,0.15751138,-0.118045695,0.43008524,-0.21660988,0.08480543,-0.2876124,-0.005787399,0.19433118,0.18078163,-0.37309974,-0.31586114,0.20867306
12,2,-0.20495886,0.2821558,0.22441357,0.18277572,0.29665774,-0.4089221,-0.050364435,-0.1640649,0.23896049,0.24124901,0.3253381,-0.3600479,-0.08641156,0.03418643,0.08725141,0.17057697,0.10088824,0.10817866,0.3285,0.04171814,-0.09784319,0.17022964,-0.22539979,-0.019957105,-0.2206368,0.2861101,0.2463063,-0.3647959,-0.10704516,0.05215137,-0.16206631,-0.094688386,-0.1537858,-0.2964331,-0.11300433,0.068453915,-0.21756361,-0.077210724,0.115481526,-0.10785954,0.4206646,-0.24249923,0.17203546,-0.31169492,-0.060198966,0.15815066,0.1363557,-0.40747932,-0.38183355,0.20892538
13,2,0.03509277,0.008716597,0.15293159,0.061912935,0.04091173,-0.15471981,-0.11840886,-0.12854864,0.24142025,0.015027343,0.10445228,-0.09396137,-0.1225248,-0.04897493,0.18074057,0.010564709,0.06362709,-0.02473662,0.05689587,0.00069155707,-0.060626846,-0.046940606,-0.029107446,0.0057484703,-0.2069968,0.11651784,0.19203918,-0.05347433,0.067762785,-0.018647742,0.008698509,0.030398656,0.031222844,0.043273218,-0.00025371928,-0.017249824,0.036190692,-0.15527776,0.033966348,-0.112358026,-0.03204296,-0.0011771028,0.030498512,-0.030129252,-0.027684832,0.048031338,0.09175983,-0.27676663,-0.016090613,0.1022953
14,1,0.08876065,0.020857293,0.545791,0.043146107,-0.0606402,-0.31830987,-0.16746227,-0.040682048,0.17316474,-0.031188838,0.36628893,-0.57432586,-0.48480365,-0.10464566,0.23715688,0.21963473,-0.11815228,-0.406092,0.27563366,-0.11773524,-0.15238634,0.15861137,-0.1280892,-0.043363474,-0.34990993,0.1410084,0.41646484,-0.4915734,-0.2034387,0.069746844,0.12395761,0.14021334,0.09928756,-0.06174632,-0.30682564,-0.28172272,0.05848233,-0.1339886,0.047799278,-0.23154287,0.09193692,-0.18979202,0.30662993,-0.11230731,-0.11282551,0.36858213,0.3474753,-0.4628307,-0.47413927,0.28573155
