no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,1,0.2724772,0.11286469,0.3259831,-0.054542325,-0.03473404,-0.23711115,0.07677326,0.13935898,0.16598009,-0.20215724,0.48986214,-0.21338953,-0.67724437,0.238876,0.13439314,-0.09129528,-0.31753567,-0.11689229,0.5971712,0.12241288,-0.30993113,0.1531077,-0.23019013,0.13253954,-0.38469607,0.1698887,0.41540256,-0.52433455,0.12848231,0.15410595,-0.076044016,-0.15283102,-0.20421274,-0.072701134,-0.4037886,-0.15757556,0.04981453,-0.31690043,0.13599172,-0.11722981,0.15117702,-0.14463171,0.27232918,-0.17408906,-0.035087615,0.07403744,0.066725336,-0.1811843,-0.4913406,0.068426356
2,1,0.26483843,0.07479999,0.5119515,-0.04482025,-0.09988858,-0.31227645,-0.030438278,-0.09868102,0.44098583,-0.21751018,1.1057746,-0.08505924,-0.9828723,0.37963024,-0.040122416,-0.22560762,-0.45109966,0.04858107,0.9025059,0.11056357,0.058508076,0.6688548,-0.5348172,-0.49565,-0.41796625,1.1217812,0.4329336,0.13317697,-0.13255557,0.03896926,-0.17264186,0.038928393,-0.5145317,0.17593099,-0.55208015,0.08073407,-0.17939334,-0.9586779,0.22175698,0.099127226,-0.17392923,-0.75033617,0.10464811,-0.0077799195,0.17837757,0.42561707,-0.46387306,-0.42400792,-1.1483734,-0.12908678
3,1,0.2713673,0.27230757,0.41449013,0.058412492,-0.015004937,-0.30059883,-0.016772171,-0.01754643,0.19622183,-0.09127582,0.41201878,-0.18838799,-0.32301608,-0.00084973685,0.04434389,0.060769826,-0.26608992,-0.08511111,0.30946156,0.13619538,-0.23469837,-0.009205523,-0.24575742,-0.053660676,-0.32727885,0.13985772,0.28498816,-0.20294434,0.004397411,0.03776694,0.03960692,-0.010605369,-0.13017242,0.18497819,-0.14903776,-0.119468145,-0.13915227,-0.18277963,-0.012484842,-0.12779847,0.21175796,-0.10497578,0.32538098,0.09873941,-0.10252528,0.1929058,-0.031183545,-0.34624216,-0.49418253,0.19909826
4,1,0.024441183,0.21108168,0.22895192,-0.03236141,-0.03737941,-0.12429771,-0.030305302,-0.1024527,0.09221645,0.056356505,0.29274648,-0.16778947,-0.25437728,0.059371307,0.045592602,-0.013267328,-0.21823739,0.0071576186,0.16483256,0.05486641,-0.14381741,0.099037096,-0.20403899,0.057867143,-0.23832671,0.10007151,0.25923893,-0.16462862,-0.05739041,0.13552994,0.095654145,0.0010772937,-0.13107717,0.07263588,-0.16021231,-0.044511598,-0.03078284,-0.214913,0.07540103,-0.03611384,0.07521854,-0.12694123,0.19349027,-0.010116753,-0.12119064,0.08724472,0.016350716,-0.20705844,-0.34291467,0.14867695
5,1,0.2274393,0.20195873,0.3286742,0.022518761,-0.07822588,-0.29446906,0.04665187,-0.10229211,0.17910534,-0.047882054,0.3569119,-0.14170128,-0.29608887,0.08447363,0.1507831,0.0039053028,-0.19290759,-0.017709926,0.18303402,0.047602348,-0.18418188,0.16871929,-0.16428505,-0.037282273,-0.2535669,0.15121233,0.2187499,-0.22159003,0.053706493,0.062094368,0.11538869,-0.167295,-0.24063541,0.16102251,-0.085083626,-0.002659875,-0.08514011,-0.23275213,0.08185473,-0.007292481,0.050343826,-0.19399819,0.25238797,-0.11306246,-0.10056997,0.06986758,0.020875877,-0.25010362,-0.41777357,0.14383858
6,1,0.012487959,0.26064998,0.29696465,-0.09904351,-0.13507193,-0.15741993,0.021740142,0.049225688,0.22095741,0.004285161,0.2820037,-0.19499175,-0.39720887,0.08354962,0.062438354,0.11328668,-0.12142764,-0.064842805,0.23758546,-0.03269517,-0.08963038,0.027865263,-0.22989824,0.02607476,-0.18392552,0.05762943,0.39054492,-0.26483524,0.031242594,-0.060590852,0.0561494,0.022538982,-0.02442444,0.044012547,-0.21161397,0.0137556065,-0.08193869,-0.2780056,0.003696726,-0.110459864,0.033471685,-0.23164295,0.30245245,-0.044499584,-0.1278233,0.12803563,0.046859644,-0.28452155,-0.32713896,0.19814369
7,1,0.038168415,0.28999984,0.3625461,-0.069124594,-0.05451352,-0.17693572,-0.035585396,-0.003665105,0.25672382,-0.021327706,0.4586669,-0.28014395,-0.35186496,0.009469959,0.16208063,0.08478965,-0.17515633,-0.015499257,0.19825833,0.07002253,-0.06761718,0.07209109,-0.20572564,-0.09813896,-0.24529059,0.09446052,0.34979588,-0.4227219,0.0138871325,0.13774633,-0.021815207,0.0807106,-0.04451202,0.02614508,-0.27651474,-0.0913197,-0.036102902,-0.311341,0.06092398,0.021305533,0.10373066,-0.08296684,0.26075214,0.021546992,-0.049292583,0.1471678,0.038277086,-0.22213434,-0.3736576,0.2033429
8,1,0.0013487767,0.06651533,-0.0016726083,-0.13899998,-0.115071446,-0.112506144,0.1899338,0.21366192,0.092570305,-0.14061862,0.07269933,-0.19801408,-0.23086381,-0.0041320045,0.22596231,0.018076565,-0.11088082,-0.11248791,0.17002732,0.065062284,-0.16629186,-0.29008114,-0.18440416,0.01988211,-0.37845862,0.05789286,0.23941794,-0.017105967,0.053583197,0.1902607,0.07948489,-0.087844856,0.003867947,0.23024324,-0.18369968,-0.045399316,0.08057064,-0.22989099,0.116534345,0.0013224761,0.11806601,-0.18036099,0.46687657,-0.1851586,-0.086458035,0.32197338,-0.063899465,-0.19632041,-0.2609605,0.07771772
9,1,0.08301792,0.12122681,0.20118472,0.0033399616,-0.0489564,-0.18574108,-0.05474238,-0.083057664,0.08568717,0.026464298,0.24666294,-0.10445079,-0.15423949,0.07701267,0.017575743,0.08563433,-0.056325722,-0.032911196,0.12826411,0.0035120205,-0.11077226,0.02770402,-0.09271142,-0.04872532,-0.23413397,-0.0054623745,0.16514823,-0.19490352,0.024161711,0.0138468,-0.0011621708,-0.053079814,-0.06500051,0.02611061,-0.096158974,-0.030557107,-0.040276196,-0.20329574,-0.0022672294,-0.086111575,0.059993308,-0.047911637,0.14215797,-0.031535942,-0.07173785,0.09171399,-0.031345442,-0.15848431,-0.25051185,0.08890402
10,1,-0.36788478,-0.20775811,0.11998141,0.1099887,-0.12540822,-0.15677863,-0.30508325,-0.06685457,0.8022733,-0.11079398,0.3584162,0.44899625,-0.31366175,0.4753571,0.7681824,0.074497625,-0.67074823,0.39208183,1.0406228,0.19441596,-0.06869568,0.17974126,-0.40401807,0.043138213,-0.41778854,0.08032199,0.4393654,-0.5894517,0.3569113,0.028431457,-0.17585978,0.12525004,0.16853534,-0.09993093,-0.46302602,0.07210786,-0.21798149,0.15114675,-0.73432785,-0.9876517,0.78569126,-0.22913201,0.80919266,-0.63745487,0.32848877,0.5817049,0.09471747,-0.7518082,-0.8255407,0.13254668
11,1,0.24266039,0.36406532,0.17554729,-0.01629941,-0.021362685,-0.59694403,-0.3176,-0.2928796,0.050652254,0.015502534,0.3698394,-0.5132011,-0.4162389,-0.080877215,0.09886697,0.08328123,-0.17492881,-0.023758272,0.67489755,0.096494846,0.10597257,0.021553757,-0.06964291,0.07057869,-0.33764717,0.2275171,0.37884867,-0.25225303,-0.22422333,0.14275217,0.13687171,-0.11245061,-0.5055019,0.07882643,-0.42892078,0.1660681,0.25006312,-0.39030087,0.08046784,-0.15519004,0.10819116,0.095997535,0.44562298,-0.058641594,-0.006476386,-0.026242528,0.1464538,-0.30732912,-0.62560767,-0.09125505
