no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,13,0.007131189,0.10635522,0.05661164,-0.031968024,0.12740588,-0.083800115,-0.063354224,-0.08459082,-0.008647832,0.03314799,0.03932018,-0.07660985,-0.01656404,0.09621394,0.13368884,0.02698901,-0.07370462,-0.005220373,0.010954471,-0.106894545,-0.14378658,0.024208277,0.024975922,0.028870862,-0.085512325,0.07810514,0.047932442,0.023483362,-0.026247086,0.042371333,0.016288009,0.026944967,-0.016573245,-0.0095239775,0.12234932,0.019468218,-0.06806682,-0.0890864,0.06322997,-0.017847512,-0.037334174,-0.015391764,0.09734538,-0.04150377,-0.009021934,0.052185327,0.056745496,-0.13328154,-0.10055311,0.14870986
2,3,0.290324,0.036153823,0.6597555,-0.053799983,-0.025177397,-0.45227507,0.13881013,-0.27063715,0.21100262,0.04896502,0.7976314,-0.69183236,-0.50883484,0.083937265,-0.040155847,0.17025274,-0.33107793,-0.107064605,0.41714716,-0.22603393,-0.06701861,0.042831935,-0.5177768,-0.16842707,-0.47723645,0.29148686,0.4780947,-0.5897748,-0.05597277,0.0046482384,-0.14650902,-0.018845491,0.31886545,0.0073795817,-0.60533744,-0.067649625,0.028763458,-0.45770076,-0.19608355,-0.4432718,0.008465721,-0.044199117,0.4610561,-0.18909562,-0.31497833,0.29098284,0.13778219,-0.30261308,-0.38990664,0.31230855
3,5,0.092869766,0.3351151,0.31176028,-0.15247227,-0.04435114,-0.2385793,-0.042696726,-0.10450487,0.15272845,-0.06768812,0.57280403,-0.22693866,-0.29313958,0.0016324008,0.022359366,0.20754944,-0.157613,-0.04997556,0.2949142,-0.016441846,-0.09837776,0.06489189,-0.2417189,-0.13128883,-0.18923315,0.06256983,0.2798797,-0.3475586,0.12998663,-0.021259932,0.01766865,-0.041519582,-0.12158042,-0.06647969,-0.2074648,-0.029878017,-0.1003657,-0.23365481,-0.041573733,-0.14576453,0.050228123,-0.19289064,0.3203831,-0.02009743,-0.12622444,0.25794598,0.0773338,-0.15893734,-0.3194596,0.1628474
4,8,0.4155652,0.19720694,0.5104557,0.16342598,0.10793977,-0.31499562,0.0068481863,-0.20540938,0.18399307,0.04366692,0.64720184,-0.31305265,-0.44103062,0.2598692,0.33037475,0.13097122,-0.29133454,-0.19551684,0.37351295,0.19069053,-0.04226429,0.017285636,-0.25336814,-0.07965483,-0.47571647,0.14798212,0.36651692,-0.37069646,-0.05121237,0.32996005,0.04096379,0.072560385,-0.053023122,-0.217892,-0.22677334,-0.1559184,-0.10048099,-0.19445154,0.08022981,-0.2552896,0.079419784,-0.033096142,0.4169802,-0.2545817,-0.231571,0.28264442,0.08594512,-0.29741162,-0.7551687,0.27613726
5,8,0.3809592,0.62190664,0.49845973,-0.06934732,0.19668712,-0.5653899,-0.023476709,0.00703442,0.17821194,-0.33482438,0.6211108,-0.53655607,-0.68627983,0.13573447,0.3243924,0.10329952,-0.33781108,-0.44218993,0.6558411,0.3841121,0.10288282,0.016316617,-0.13529643,0.14124288,-0.75330055,0.43988487,0.49172318,-0.19644508,-0.20427614,0.29221642,0.13391614,0.12101094,0.3737803,0.0138288215,-0.5359601,-0.5072244,0.101525195,-0.6043371,0.24433957,-0.08188005,-0.17600486,0.01330723,0.39456382,0.025255715,-0.071330056,0.011353982,0.5697265,-0.6162262,-0.8795743,0.113878265
6,5,0.12619588,0.23871654,0.36590382,0.013661033,-0.05242266,-0.233733,-0.022482643,-0.11054841,0.16668005,0.061000004,0.4112204,-0.31117457,-0.29399145,0.030485885,0.112922125,0.25437286,-0.13343728,-0.044941988,0.22854353,0.14918017,-0.06696098,0.016849753,-0.20148923,-0.04256744,-0.3022336,0.06799629,0.22642288,-0.35888493,-0.058401704,-0.0017962069,-0.028446931,-0.07890647,-0.06006102,-0.0669208,-0.20393035,-0.096734054,-0.041749924,-0.16484322,0.0042411378,-0.106023,0.0007014364,-0.13836464,0.28035602,-0.052418232,-0.06008507,0.045331288,0.09218818,-0.33623892,-0.3831591,0.07519332
7,5,0.011590634,0.56869924,0.7511432,0.07685106,0.009443575,-0.44392002,-0.034719624,-0.022066168,0.36223894,-0.039438006,0.52430433,-0.51966095,-0.30418018,-0.13526319,0.14918657,0.31364676,-0.17002518,-0.15075523,0.23231195,0.1849328,0.038305596,0.1745013,-0.34084654,-0.003572605,-0.6433872,-0.020483997,0.22489241,-0.6081928,-0.19230343,0.103640825,0.029932246,-0.15047859,0.19079861,-0.23188318,-0.30189005,-0.3714442,-0.022732448,-0.018273115,-0.014501732,-0.09316321,-0.19545962,-0.07815841,0.3105457,0.052693523,-0.15166475,0.053357087,0.19917321,-0.32564414,-0.54365087,0.15420124
8,8,0.37505838,0.30690265,0.49174497,0.3443955,-0.3345533,-0.28575674,-0.19935933,-0.5956018,0.25429687,-0.3930611,0.002554779,-0.18233764,-0.34863296,-0.03788768,0.13852717,0.024158014,-0.13795686,-0.25473884,0.26746964,-0.031514548,-0.1081854,0.34214523,-0.080136955,0.100916065,-0.30367702,0.25860715,0.16157506,-0.09984989,-0.0033282489,0.1000546,-0.009151734,-0.018020468,0.00936238,0.030759832,-0.14742465,-0.1015945,0.09651342,-0.39685738,0.15976462,-0.22642088,0.09632172,-0.19129,0.32953057,-0.17576651,-0.12311273,0.38134587,0.3375659,-0.28266862,-0.5029915,-0.0056882547
9,34,0.37057617,0.30802894,0.37520388,-0.10744616,-0.0109601,-0.22605059,-0.028508274,-0.098562896,0.2928194,0.08171016,0.8147815,-0.7362473,-0.2893298,0.067312844,0.033817895,0.39280048,-0.28892216,-0.12607259,0.45447722,0.20490657,0.11437575,0.101257816,-0.24781655,0.24344082,-0.4041398,0.26169413,0.6188783,-0.38135394,-0.036546785,0.12176925,-0.106193826,-0.32710573,0.00077789,-0.111335404,-0.3949367,-0.09088583,-0.17131028,-0.30614308,0.20142879,-0.105570495,0.09326171,-0.27897984,0.09037247,-0.09759366,-0.06619352,-0.0136049185,0.19524921,-0.33111593,-0.8024469,0.05193706
10,5,0.1249105,0.28121725,0.39693862,-0.06501368,-0.070776165,-0.24881198,-0.013252104,0.0058552655,0.3010956,-0.155417,0.52894926,-0.24296221,-0.4301893,0.096395954,0.18814303,0.19959779,-0.05211272,-0.15344723,0.42039067,0.09741486,-0.13468848,0.0407259,-0.15592147,-0.07590314,-0.40253088,0.040226042,0.4517364,-0.41685164,0.031214692,0.04588963,-0.044680715,-0.03226268,-0.066924185,-0.007024116,-0.18972585,-0.12534748,0.059172112,-0.19418944,0.09239519,-0.030629061,0.16398333,-0.14981027,0.472446,0.0071028443,-0.12945788,0.17470738,0.02011387,-0.21826261,-0.48998246,0.058324482
