no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,0,0.081295066,0.040893115,0.03959518,-0.02961499,0.07705682,-0.1516688,-0.0133392885,-0.15938489,0.0048768716,0.013027062,0.062520474,0.03392147,-0.12867458,0.053738188,0.018777108,-0.04425973,-0.057660334,0.058915626,-0.01787033,-0.015732357,0.064293444,0.06365303,0.07117298,-0.088303946,-0.049685966,-0.013481161,0.04128038,0.060728382,0.029979676,0.09662214,0.0174516,-0.005898534,-0.076914825,0.12091462,-0.06565492,0.018404698,-0.020775037,0.0045938906,0.064217515,-0.025030956,-0.07158144,0.0151043115,0.026069822,0.039808102,0.060622703,0.110056005,-0.05256584,-0.14858608,-0.018568575,0.04162633
2,0,0.06844173,0.06316966,0.0747925,-0.14265725,0.07141097,-0.18675962,-0.002739119,-0.16267331,0.08899286,0.1052033,0.23797382,-0.06189844,-0.124640845,0.13960953,0.053296085,0.07331609,-0.045141805,0.07988981,0.010427872,-0.038472563,0.03691703,0.01608618,0.013003135,0.016426425,-0.124616474,0.012127539,0.13394561,-0.04309475,-0.050611485,0.18605368,-0.015175216,0.021348804,-0.0062101753,0.1368944,-0.17770651,0.0022279993,-0.047830943,-0.09644669,0.028227339,-0.04939014,0.009587013,0.08940632,0.022653967,-0.047943417,-0.05500177,0.11129816,-0.025224915,-0.09946448,-0.13291919,0.012143835
3,1,0.054189626,0.054612428,0.084625654,0.0006686189,0.013804822,-0.029960118,-0.011164822,-0.05079923,0.14029399,0.056930244,0.015114925,-0.01810695,-0.017886685,0.017792275,0.053434823,0.008750852,0.006579002,0.016768103,-0.05348679,0.014291702,-0.022204522,0.05978633,0.004111351,0.055558667,-0.078314714,0.08315338,0.07832228,0.0027272976,0.05768251,-0.004752151,0.037574247,0.0317324,-0.003875471,0.06605832,0.029813388,0.009363886,0.027217962,-0.0153029375,0.05879522,-0.03650076,0.03517631,-0.013206094,0.011283108,0.024427392,0.016956566,0.014527633,0.018466044,-0.085759416,0.016273841,0.044052597
4,0,-0.018068578,0.20541838,0.22176373,-0.020483807,-0.07640164,-0.27861592,-0.080713585,-0.13782597,0.042710386,0.035988234,0.1072125,-0.27257544,-0.3351611,-0.04582039,0.11583155,0.02092064,-0.14556281,-0.045300297,0.3614688,0.109404236,0.055030346,0.17721894,-0.04899592,-0.07936509,-0.3358923,0.10753284,0.13270038,-0.18734698,-0.1217219,-0.09352403,0.03695249,-0.14603254,-0.19140485,0.20636971,-0.29481936,0.075262204,-0.09119562,-0.24793938,0.036444016,-0.07198746,0.18157607,0.02343386,0.21270259,-0.0061879284,-0.10268393,0.19282275,-0.08772863,-0.3595515,-0.34029204,0.20012827
5,0,0.066705614,0.045649633,0.13964128,0.026620574,0.00059990794,-0.1673265,-0.045728017,0.0005292533,0.10699413,-0.0021360791,0.21816312,-0.047172032,-0.18832546,0.046095844,0.07211148,0.037209965,-0.07916296,-0.053271472,0.0812298,0.104370415,-0.15483747,0.07332052,-0.110010445,-0.018501727,-0.2012003,-0.012459772,0.09803458,-0.14945196,0.019887786,0.02483851,0.04004267,0.0050011384,-0.032508284,0.038922757,-0.14271516,-0.041632894,-0.043894224,-0.09168541,0.0029100156,-0.03961897,0.076564364,0.0043523754,0.10699215,0.0005574932,-0.04988267,0.061622523,-0.026407368,-0.2160673,-0.27240655,0.060382534
6,2,0.09732247,0.025722362,0.044203755,-0.06949687,0.07286603,-0.05182473,-0.017081248,-0.033388596,0.1666686,0.105457224,0.083362855,0.018164933,-0.12286414,0.08501944,0.11109991,-0.033871897,0.0066377455,-0.00080540916,-0.057116643,-0.006307475,-0.049888186,0.06930972,-0.055964768,-0.064549334,-0.16445145,0.05325788,0.051975228,0.08152887,0.09825836,0.08812674,0.07063542,0.055775747,-0.060998082,0.17175132,0.0010347059,0.06034728,0.042840555,-0.06119691,0.08277555,-0.11005991,0.06666617,-0.0107906675,0.065404296,0.060279638,0.046639007,0.09347902,-0.057655606,-0.07033553,0.011813482,0.05890658
7,1,0.0029571757,0.009538562,0.020449307,-0.19727933,0.09606117,-0.17770891,-0.025400426,-0.014229824,0.21606869,0.03670462,0.2788262,0.062189817,-0.2722406,0.12773329,0.11250055,-0.106913365,-0.052121934,0.08688934,0.012471506,0.12557325,-0.12543888,0.079964764,-0.10076841,-0.117137186,-0.26831123,0.021074975,0.024939284,0.19041683,0.030988012,0.08579315,0.06320584,-0.05160811,-0.045155343,0.15967189,-0.035088956,0.08810175,-0.018445987,-0.053466957,0.056282118,-0.11560719,0.036608983,-0.0051921727,0.19279477,0.07240463,-0.057286978,0.17538811,-0.10505003,-0.1757272,-0.017194027,0.083698206
8,1,0.020516552,0.04956213,0.123565,-0.016889535,-0.0079734465,-0.063456416,0.02838852,0.009548504,0.15082218,0.036546305,0.21574335,-0.09328488,-0.1634215,0.04042084,-0.00046352035,0.05847868,-0.06461859,0.043917634,0.11305409,0.03207724,-0.03306458,-0.017266791,-0.11643532,0.040765774,-0.04433873,0.1043787,0.13728699,-0.15752876,-0.0012865835,-0.001659622,0.003775742,0.06935037,0.032683935,-0.00052197295,-0.0869469,-0.1466656,-0.04022948,-0.086183816,0.055364013,-0.002057021,0.098691665,-0.014320557,0.099044114,0.016189607,-0.1111487,-0.005674501,0.03431102,-0.13077965,-0.12554343,0.077136114
9,1,0.084166005,-0.0027288678,0.01482359,-0.008243589,0.085830525,-0.0075162305,-0.019790022,-0.038164902,0.17171384,0.021637417,-0.05300644,-0.036205467,-0.0531293,0.064973265,0.06974089,-0.04753255,0.0040022884,-0.026695361,-0.1014244,-0.048933,-0.02706615,0.033873044,0.027509972,0.0694014,-0.12307634,0.076203674,0.094688214,0.1737896,0.09058011,0.0458923,0.025916297,0.020193746,-0.057512145,0.067196876,0.002475917,-0.0058294106,0.013032109,-0.010276666,0.057726588,-0.021349227,0.0057755252,-0.07304058,0.014582311,0.044369265,0.09979374,0.0493097,-0.010271608,-0.061326556,0.008759906,0.05437511
10,1,0.052347038,-0.027765306,0.023893451,-0.03682184,0.03969608,-0.019701852,0.045305483,-0.011010094,-0.027106483,0.026724907,0.049043927,0.0063640783,0.0021174927,0.015584472,0.006514438,0.0025940826,-0.02299238,-0.012990698,0.036465783,-0.026882064,-0.027425636,0.015412494,-0.02948239,-0.01269671,-0.04368232,-0.048194736,-0.014667426,-0.051113676,-0.032291688,0.04174957,0.019787267,-0.036963508,-0.05152595,-0.05775983,0.037534293,-0.03239673,0.025699554,0.0005692446,-0.013556029,-0.052261584,-0.01142213,0.038155235,0.012695215,-0.015482204,-0.018844185,0.025434969,-0.0223225,-0.107335806,-0.030008234,0.06403781
