no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,5,0.048911437,0.025455732,0.05306668,0.009845544,0.0146263,-0.01493382,0.0103865,-0.052884486,0.12617762,0.083671406,0.00031931512,-0.03374667,-0.033316866,0.035969634,0.05687561,-0.060754307,-0.0011178358,-0.021657705,-0.080549255,-0.0041448004,0.030655028,0.06442425,-0.023526412,0.08515885,-0.012755975,0.097641945,0.047163505,0.055436336,0.03438151,-0.005594911,0.035364524,-0.007827365,-0.010720247,0.1056044,0.056771405,-0.06272087,0.0024482366,0.013264345,0.0894378,-0.04503432,-0.022854771,-0.011819029,-0.011610105,0.012085203,0.008057411,0.09075841,0.0202677,-0.035240233,0.081809625,0.08325778
2,5,0.0024534988,0.045630254,0.12996511,-0.023502143,0.010700746,-0.08793083,0.024741776,-0.0059703495,0.07068905,0.026997192,0.09725557,-0.069398396,-0.079994425,0.024870386,0.0074542332,0.039502326,-0.08090487,-0.026311487,0.12112543,0.017592875,-0.056192614,0.016632661,-0.13180473,-0.014087001,-0.081011474,0.047792964,0.0996151,-0.012845157,0.028582469,0.010389345,0.06329903,-0.04385006,-0.031652477,0.04639486,-0.02772069,-0.0015039163,-0.05999341,-0.099228024,0.015494169,-0.01928275,0.011455134,-0.022233559,-0.00015748607,-0.002649887,-0.0513311,0.16667077,-0.03794379,-0.08708462,-0.10094596,0.06749857
3,5,0.04061706,0.0202539,0.12090561,-0.027231086,0.097466856,-0.0675042,-0.008856508,-0.051849723,0.1263989,0.09488318,0.083409876,-0.04698551,-0.08809777,0.016185215,0.07175288,0.009228146,0.009938384,0.011348086,0.026198145,0.023811365,0.005018185,0.028825406,-0.018961487,-0.05098244,-0.07894963,0.108422905,0.091741085,-0.049905233,0.038252316,0.03833975,0.062384065,0.019766942,0.002894945,0.059352987,-0.041685563,0.014384272,0.009909632,-0.021377927,0.08293422,0.024306009,-0.014017659,-0.03577263,-0.017775316,0.028404549,-0.06529279,0.081986494,0.0073870346,-0.070997596,-0.086402304,0.15122664
4,5,0.006496815,-0.0016742963,0.086282186,-0.021615028,0.0522709,-0.0008151999,0.025016781,-0.04986755,0.19343384,0.026040465,-0.014304854,-0.020215845,0.019276848,0.009271796,0.053348266,-0.023854367,0.10900734,-0.07958206,-0.11587903,-0.0049410956,0.031370156,0.03708264,0.0249243,0.024525214,0.0070481217,0.108493686,0.062932014,0.073411115,0.0738886,-0.027202662,0.054112397,0.024382021,-0.017118055,0.08480623,-0.006120829,0.027206136,0.035801575,0.0036485253,0.055713423,-0.05239413,-0.040588487,-0.039921112,-0.034971062,0.035947617,-0.032518335,0.042157684,0.043177214,-0.011818874,0.1292682,-0.0014080578
5,5,-0.0762433,0.08762872,0.068831116,-0.076972105,-0.00317109,-0.06189169,-0.018133407,-0.055853464,0.018781323,-0.0061800377,0.0029055015,-0.0050727273,-0.028176408,-0.046704434,-0.054347213,-0.059842672,-0.04365228,0.0058415625,0.022423457,0.016886458,0.030417988,-0.002315559,-0.047689807,-0.023114795,0.043259505,0.053333256,0.075620845,-0.0076635936,0.012840049,-0.071908854,0.025692087,0.03302233,0.014800926,0.01668967,0.02612823,0.0093572,-0.10328684,-0.022744942,-0.027003033,-0.032604743,-0.009533348,-0.01017481,0.004420533,0.016800767,-0.023194933,0.010866649,-0.013339282,-0.016414832,-0.024711328,0.07329861
6,5,0.08237941,0.08602397,0.051640294,0.016969454,0.040794823,-0.013206579,-0.07733037,-0.027950447,0.16678977,0.08601177,0.00030583882,-0.08813149,-0.06416491,0.05027964,0.0069767125,-0.028340919,0.030133754,0.022493863,-0.05056096,0.0070820246,-0.0014574744,0.05416703,-0.09227229,0.025672765,-0.09536324,0.12646732,0.08732526,0.009525076,0.047630113,-0.026731933,0.07557848,0.011778804,-0.022723923,0.094664335,0.006261677,-0.019144991,0.04463648,-0.051561117,0.053557705,-0.07403294,0.029727452,-0.033234388,0.024558049,0.058330033,0.04032258,0.05394511,0.025843402,-0.032595333,0.012205499,0.034980018
7,3,-0.025046209,0.24843277,0.6159569,-0.2794304,0.031730834,-0.38609573,-0.047861863,-0.27283308,0.34368563,0.07163451,0.38519785,-0.34811985,-0.34324482,-0.021797612,0.02142431,0.15046397,-0.21718442,-0.011305566,0.2703708,0.100342184,-0.16417071,0.091798425,-0.15484113,0.017730756,-0.295504,0.1817467,0.34677675,-0.33237654,-0.15386085,0.12447358,0.121149264,-0.05815259,0.17703721,0.03824885,-0.25463963,0.003598128,-0.18930116,-0.29915753,-0.011766419,-0.16079694,0.044969566,-0.04079806,0.33552158,-0.14945899,-0.14755929,0.14258257,-0.015176764,-0.10691761,-0.38962713,0.22265069
8,3,0.026411511,0.21904355,0.3521762,-0.27585173,0.14535068,-0.50480944,0.064683914,-0.10776974,0.4480091,0.113308765,0.39287066,-0.44783238,-0.6176445,0.11463097,-0.05734966,0.10120336,-0.13871655,-0.061176177,0.20201321,0.14507045,-0.14077865,0.1427283,-0.31129277,0.005181215,-0.31740683,0.13439721,0.38056284,-0.38416895,-0.12058156,-0.124511644,0.017956454,-0.22652791,-0.028658671,-0.09540105,-0.27424774,0.02506781,-0.04139537,-0.2639922,-0.056291196,-0.13582632,0.26256332,-0.19830333,0.24537049,0.032710113,-0.058297984,0.24195649,0.10046866,-0.36590663,-0.21676798,0.077127635
9,8,0.13270979,0.029728029,0.023173414,-0.06954845,0.1544471,-0.1255517,0.07403447,-0.013121273,0.098456465,-0.07442612,0.28029984,-0.03180175,-0.33913353,0.06140284,0.13524203,-0.009317674,0.05831878,-0.196593,0.056329843,0.05847519,-0.13879628,-0.13778034,-0.020211158,0.09339363,-0.1855404,0.08753853,0.1750734,0.03380052,0.064037725,-0.00938979,0.09886511,-0.11650289,0.07257605,-0.061987016,-0.112359986,-0.042727705,-0.08147891,-0.1386219,0.015376686,0.06606996,0.073818825,-0.2224863,0.057110123,-0.10277224,-0.035411414,0.05302007,0.036600128,-0.103474,-0.14252083,0.03336822
10,2,-0.04498018,-0.11198449,0.019478654,-0.12103541,0.046261873,-0.097117394,-0.039142292,-0.03633591,0.13437277,0.069217235,0.19163714,-0.11622543,-0.16504917,0.032639086,-0.0010282819,0.048402507,-0.080075994,0.012325097,0.01219726,-0.017536916,-0.16140673,-0.013326192,-0.08262004,0.15143265,-0.03294205,0.030601535,0.08321893,-0.015815262,-0.06376664,0.08277214,0.06697263,-0.03957229,-0.065377995,0.007814987,-0.082948856,-0.030423269,-0.020136528,-0.14040071,0.06822427,-0.010958159,-0.0254542,0.07779768,-0.040253624,-0.08392845,0.022294585,0.15345567,0.063929655,0.04805006,-0.06494557,0.042982157
11,3,0.058028527,0.1198983,0.23622966,-0.09267439,0.01820408,-0.18202238,-0.0013587358,-0.07513668,0.21371633,0.018646257,0.212195,-0.06394686,-0.17083146,0.059307165,0.055278733,0.042851694,-0.11527027,-0.0068485388,0.12804087,0.07027469,-0.13016607,0.03721984,-0.07468809,-0.018553954,-0.20553565,0.01314236,0.19005951,-0.09886698,-0.056247443,0.0949344,0.03686233,-0.05955135,-0.06833358,0.013916815,-0.10014456,0.016182333,-0.05536903,-0.19656108,0.033462137,-0.052104317,0.031002192,-0.0380631,0.14228953,-0.06340562,-0.016536709,0.1273287,-0.017730905,-0.1272794,-0.20336878,0.108225554
12,5,-0.032842133,0.067783,0.10028871,-0.08989037,0.056399155,-0.19673678,0.15810241,0.043371256,0.1595935,-0.20804347,0.10591873,-0.20558006,-0.41824347,0.118382536,0.09808585,-0.1811585,-0.04381948,-0.091477975,0.08149972,0.19836783,-0.23288365,-0.025554718,-0.07697538,0.088841915,-0.13063954,0.27481607,0.0886367,-0.2798124,-0.0071977237,0.015113593,0.017360799,-0.25834322,-0.24014163,0.19753116,-0.11807696,0.021231163,-0.13795601,-0.5154891,0.20070879,-0.10017975,0.10743464,-0.16080943,0.14934961,0.02010537,0.14885408,0.22198609,0.14230163,-0.04754769,-0.24860533,0.28838915
13,2,-0.01233427,0.1628874,0.31046477,-0.07768588,0.040075496,-0.14981592,0.002593086,-0.034968197,0.33749676,-0.019625906,0.12444633,-0.15859045,-0.24001187,-0.025627445,0.14419185,0.015847871,-0.01623406,-0.00013171695,0.061070174,0.056513626,-0.049468085,0.07504572,-0.10932087,0.14708175,-0.26845044,0.12502566,0.22534265,-0.15878406,-0.0021421649,0.13301846,0.1236124,-0.15162513,0.031756964,0.024680726,-0.16246493,-0.02948818,-0.012167099,-0.17506173,0.045064703,-0.08967237,0.00928776,-0.06508232,0.05956775,0.016915457,-0.01665315,0.09964889,0.10166493,-0.07919335,-0.17758423,0.0824349
14,1,0.15827164,0.043788876,0.28015092,-0.15352063,-0.09900534,-0.15898249,0.029035322,0.0032236392,0.04067806,-0.07443367,0.06345317,-0.11664469,-0.06959218,0.07698238,0.1769406,0.012018646,-0.0112264715,0.04086589,0.07140887,0.058719695,-0.027392257,0.1306087,-0.10017473,0.004639504,-0.19736348,0.016085241,0.061360203,-0.08372582,-0.13527972,0.13762967,0.0883808,-0.07186675,0.034188725,0.10668142,-0.1700181,0.049850248,-0.072877534,-0.16567704,-0.053153034,-0.11808317,0.07761643,-0.14126772,0.05443944,0.06249077,0.02958584,0.19502124,0.053426594,-0.12043501,-0.24365069,0.037476566
15,1,0.19655381,0.11434059,0.3098285,-0.003816057,-0.034551103,-0.504,-0.07093606,-0.06035795,0.17712979,-0.25888935,0.3922009,-0.17516352,-0.59884036,-0.09143909,0.20081706,-0.0706588,-0.3784914,-0.09153067,0.027252803,0.09330261,0.024832869,0.0758406,-0.1694251,-0.046090398,-0.4843164,0.10147298,0.6148148,-0.12423055,0.027407195,0.19725661,0.01775096,-0.26271752,0.16501327,0.15158385,-0.2583579,-0.24749096,0.09111619,-0.43715402,0.23554951,-0.10917892,-0.2186729,0.119157955,0.17574525,-0.44735894,-0.04029228,0.21441889,0.1323117,-0.33185527,-0.4405974,0.18131666
16,1,0.083910696,0.22173204,0.40893322,-0.08526856,-0.119006455,-0.5317471,-0.13553381,-0.097673506,0.08762568,-0.1863731,0.27449748,-0.31355858,-0.4044561,0.04625766,0.104655355,0.052382637,-0.3156803,-0.082749836,0.15211421,0.13493462,-0.1002348,0.21109617,-0.12898573,-0.043701433,-0.51131004,0.15945216,0.5270954,-0.117684685,-0.0053375727,0.18693988,-0.1160278,-0.21540254,0.14792411,0.1942108,-0.33666825,-0.25283647,-0.02976989,-0.42869112,0.14598441,-0.05275434,-0.14511941,-0.038682777,0.3147438,-0.33938697,-0.06611381,0.17913486,0.11867686,-0.2947809,-0.45904496,0.040995743
17,1,0.07703101,0.24162334,0.34316394,0.14546716,-0.17311051,-0.37007082,-0.029519519,-0.07679692,0.11221267,-0.13185534,0.3398311,-0.33328953,-0.37674573,0.13194303,0.1473714,0.08660196,-0.19496801,-0.095774606,0.30770475,0.17192036,0.03975449,0.10677731,-0.034699302,-0.0621577,-0.33119583,0.15360358,0.3798528,-0.23978692,-0.11438241,0.21039158,-0.13362487,-0.040652066,0.13697678,0.122514695,-0.30515963,-0.054840215,0.13083118,-0.21299407,0.13892505,-0.16957852,-0.008088278,0.056729376,0.08757742,-0.09430916,-0.19193637,0.19216026,0.10734935,-0.29777873,-0.3687143,-0.014240982
18,3,0.07895607,0.13190107,0.2769098,-0.10479995,0.04915757,-0.12747714,0.1351936,0.017674098,0.27736485,0.010411175,0.19372998,-0.22169425,-0.42774785,-0.01582259,0.033494014,0.077903666,-0.066965014,-0.12606937,0.21389036,0.03602973,0.070350036,-0.0043895543,-0.098036245,0.23400563,-0.16365431,0.085717864,0.16999887,0.014143921,-0.22276577,0.16426843,0.03771558,-0.08343898,-0.048664343,-0.029546581,-0.28933674,-0.13157216,-0.16411054,-0.15532641,0.093125954,-0.083719954,-0.14276014,-0.025210565,0.040491764,0.14382106,0.14418022,0.29142725,0.2646383,-0.17794463,-0.07809972,0.060259063
19,5,-0.069248974,0.32135597,0.45223328,-0.2935967,-0.0010469356,-0.416368,0.3637087,-0.099439904,0.44851178,-0.039454125,0.37596324,-0.120989084,-0.5491617,0.03440123,0.09213405,-0.013122825,-0.069011115,0.038194843,0.42983326,0.20091842,-0.2820022,0.1431586,-0.28996652,-0.07671239,-0.29249477,0.34704223,0.44143638,-0.41535488,-0.19646765,0.09486732,-0.18059732,-0.104525164,0.06163852,-0.018976592,-0.48380578,-0.13840869,-0.39714482,-0.47563383,0.3541783,-0.07969844,0.18336904,-0.15900035,0.3916036,0.046374887,-0.06806505,0.421638,0.16054945,-0.09076434,-0.32722992,0.22704922
20,2,0.12136811,-0.03923604,0.13358718,-0.13456815,0.02189359,-0.1676447,0.13069749,-0.0764423,0.11385153,-0.014017789,0.25053224,-0.1936733,-0.2700937,0.089149944,0.061493147,-0.056621093,-0.124006845,-0.04871447,0.22945671,0.1670794,-0.013930802,0.16099752,0.020563358,0.0049373023,-0.008119322,0.13940741,0.101341486,-0.1870603,-0.07924035,0.070039585,-0.08431883,-0.17182279,0.0077910605,0.065146066,-0.19713263,-0.088354334,-0.097387925,-0.35886753,0.07688326,-0.106361344,0.11298917,-0.08111294,0.106757596,-0.045256168,0.051744774,0.23778024,0.02861786,0.13339843,-0.092059255,0.08883219
21,3,0.15977836,0.061324406,0.30285007,-0.20972958,0.15097569,-0.18675065,0.27195546,0.14856887,0.33958304,-0.08275694,0.4055607,-0.246162,-0.5800597,0.13175562,0.1735601,-0.014693144,-0.17373872,-0.16630551,0.36989132,0.48832995,-0.27995235,-0.06664449,-0.4248256,0.08553673,-0.26808056,0.39327148,0.07008798,-0.055009358,-0.19273412,0.18485683,0.18457994,-0.2811255,-0.016433265,0.28451127,-0.17705822,0.12485336,-0.2295343,-0.39558953,0.29942408,-0.14949569,-0.01609214,-0.2423143,0.39022413,0.09269798,-0.01398789,0.35418624,0.031180609,0.05366261,-0.123429075,0.35024062
22,3,0.19611794,0.15048988,0.4519696,-0.18827944,-0.068450905,-0.28215966,0.07877333,-0.006676045,0.55167234,0.027457263,0.5456984,-0.20728603,-0.4599646,0.093044855,0.26433134,0.08632603,-0.06863749,-0.1398409,0.3106311,0.17696387,-0.24215288,0.12851363,-0.24776745,0.12420808,-0.38500983,0.20123746,0.38095722,-0.21473067,-0.003720481,0.18509471,0.06519366,-0.14869949,-0.08819033,0.074557364,-0.23500824,0.029105766,-0.088298514,-0.5183849,0.038421977,-0.16421908,0.09599551,-0.14828274,0.396054,-0.0856362,-0.029630259,0.3968383,0.08022767,-0.105426185,-0.2505519,0.17390236
23,5,0.025124412,0.04602477,0.059258707,-0.00045294221,-0.0002220564,-0.07123994,0.008662974,-0.05505247,0.04778281,-0.0012567795,0.089356065,-0.040494446,-0.071916096,0.030175969,0.023851076,-0.009483894,-0.059697762,0.012287264,0.034759823,0.042123064,0.012644004,0.02193132,-0.060741782,0.00671224,-0.05282701,0.0604055,0.06961359,-0.018980347,-0.009299748,0.03667131,0.038412657,0.031963408,-0.009353461,-0.016307969,-0.014689669,-0.015073804,-0.0013789588,-0.029516082,-0.0026815888,0.0130475545,0.019966373,-0.030339634,0.035401445,0.013030275,-0.07490482,0.053425957,0.015268406,-0.071167074,-0.0728803,0.047208976
24,3,0.13055418,0.20796917,0.45199636,-0.12521856,-0.10361333,-0.20480828,0.020553563,-0.064118184,0.26913434,-0.022228738,0.43320552,-0.21120073,-0.2988959,0.05452838,0.13817108,0.060052365,-0.09327963,-0.089159444,0.3083322,0.15897313,-0.15590806,-0.0133209005,-0.34599367,0.012720247,-0.368455,0.14977206,0.42052048,-0.121921174,-0.029481204,0.1833209,-0.0049525825,-0.20986953,0.020574605,0.04621487,-0.2057936,0.0059962454,-0.15203978,-0.38898188,0.17285605,-0.10604424,0.0024417508,-0.09628447,0.24281928,-0.0040546195,-0.109493814,0.32278872,0.046466086,-0.1850868,-0.28952572,0.10918753
25,5,0.0119815925,0.067336746,0.14381401,-0.016090775,-0.04550202,-0.085100815,-0.04651578,-0.040721748,0.07372648,0.0016822182,0.15186039,-0.086268656,-0.10660027,0.023771383,0.0359064,0.03937941,-0.048170846,-0.044128407,0.10387067,0.061924584,-0.033573624,0.03538845,-0.06413212,-0.00020652282,-0.087171696,0.021094533,0.10412722,-0.15787515,0.021610044,-0.013015681,0.024877325,-0.0089147035,-0.017294979,0.010813492,-0.04854664,-0.037022475,-0.014666213,-0.07609189,0.0002977244,-0.009229862,0.021276608,-0.019811135,0.031071192,-0.0028741723,-0.07251486,0.05174052,0.008133186,-0.083579496,-0.13863792,0.04496827
26,3,0.09548822,0.1178,0.13230816,-0.024289344,0.04887744,-0.09084862,-0.022712786,-0.06401759,0.20288135,0.09758444,0.11014064,-0.092687055,-0.10117252,0.045023073,0.07282585,0.00836378,-0.023733368,-0.015463927,-0.046082497,0.046822686,-0.059913646,0.07342572,-0.08680547,0.007586426,-0.13182712,0.04873699,0.12780143,-0.044876352,-0.0092397425,-0.023974037,0.019946622,0.004478409,-0.027380547,0.08625243,-0.051627792,-0.019637544,0.026803695,-0.101462364,0.06345898,-0.101575725,0.02634082,-0.005430873,0.032784283,0.088756435,-0.037119538,0.063749604,0.04751563,-0.12036187,-0.04525763,0.04951182
27,5,0.20351055,0.320531,0.51459974,-0.058683015,0.15056275,-0.19362593,0.19916326,0.09466519,0.40074146,-0.18559116,0.5027466,-0.03249539,-0.7911281,0.07322154,0.25472435,0.07467883,-0.2815022,0.0438678,0.3075602,0.2715333,-0.21623577,0.08865019,-0.040783733,0.15595615,-0.28750712,0.33410606,0.16469789,-0.5902729,-0.15757285,0.22273229,-0.058987603,-0.17599256,0.007794157,0.16012448,-0.19106172,0.12827027,-0.17998946,-0.64838225,0.2721688,-0.123934455,0.30654567,-0.37204117,0.32419682,-0.15080903,0.113259,0.19870792,0.37659398,0.018653922,-0.5304292,0.14732276
28,3,0.009474822,0.026406115,0.15546775,0.0033969744,0.022722626,-0.05594884,0.10386902,-0.020270668,0.24737562,-0.015519756,0.18863492,-0.07934559,-0.25367263,0.03711532,0.08034993,-0.056260463,-0.03351704,-0.03794967,0.14796457,0.050877605,-0.11921139,-0.006895328,0.050039776,0.003313125,-0.103180684,0.07693555,0.15013827,0.01597192,-0.1118619,-0.025943868,0.025727758,-0.114088096,-0.038150925,0.030483153,-0.24023752,0.019236121,0.011628035,-0.14180075,0.06601083,-0.014525963,0.05012724,-0.07113008,0.15753587,0.038643375,0.071342066,0.17405596,0.010155962,-0.023335233,-0.0729052,0.04683283
29,3,0.2225362,-0.05284256,0.5045141,-0.24098457,0.09403391,-0.27191377,0.33465636,-0.1186732,0.72756463,-0.07854402,0.6049525,-0.40527788,-0.66309476,0.08989267,0.24814908,0.036762018,-0.22247645,-0.15546694,0.8326019,0.082598306,-0.33379877,-0.062121157,-0.40520373,0.07311772,-0.45127898,0.25396365,0.42645544,-0.41438028,-0.5332563,0.5009873,0.017710602,-0.29418874,0.03387235,-0.2882071,-0.86039853,-0.17621224,-0.007473071,-0.46983197,0.50538224,-0.3257857,0.08618095,-0.32829204,0.16018158,-0.22227025,-0.034893364,0.65375614,0.14344545,-0.13458665,-0.44738057,0.096530385
30,3,0.009523112,-0.067938216,0.10398631,-0.08787422,-0.033740498,-0.009910349,0.15797743,-0.1115756,0.1840364,0.07790032,0.009171694,-0.064686395,-0.101714596,-0.020466618,0.069841236,-0.052822933,0.061413143,-0.026218949,0.029266749,0.0045868047,-0.08215058,-7.666461e-05,-0.030500121,0.075394385,-0.17343765,0.03520594,-0.028506367,-0.06797295,-0.2069501,0.064993836,0.100343555,-0.048994068,-0.0012921486,-0.039424207,-0.04252524,-0.038905952,-0.046334703,-0.11979875,0.09410379,-0.14544572,-0.029832354,-0.099660486,0.034528606,-0.023865301,0.09679561,0.16180587,0.060407933,-0.02111906,-0.017780233,0.02932866
