no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,1,0.1379435,-0.0019047346,0.5808406,-0.21004866,0.10001277,-0.22610337,0.12276077,-0.33786196,0.18205145,0.065001786,0.3632841,-0.25823385,-0.37018198,-0.116096206,0.25655848,0.0072522387,-0.022329258,-0.036841787,-0.2150525,-0.21912797,-0.100892656,0.15372309,0.020098265,-0.103324905,-0.32656586,-0.016691487,0.080490574,-0.2525025,-0.16795264,0.1943948,0.30839393,-0.027116748,0.062959015,-0.11380048,-0.0099609345,-0.05654981,0.091766514,-0.04721932,0.031018399,-0.42939705,-0.01332204,0.028213227,0.01594803,-0.048349895,-0.2812661,0.42351797,0.3140195,-0.5399131,-0.41297176,0.5192582
2,1,0.26199678,-0.28305456,1.0813029,-0.7898965,-0.10334765,-0.89693284,0.055886216,0.26587892,0.10380206,-0.08366578,0.42015752,-0.6142572,-0.4086873,0.6737522,0.13006765,0.49345535,0.120481156,-0.8198537,0.47621608,-0.012716037,-0.25043213,-0.09228749,-0.23486063,-0.11689793,0.12769267,-0.068146795,0.30844298,-1.459883,0.056635924,-0.79932314,-0.20220819,-0.45427978,0.68023646,-0.030532263,0.20627649,-0.28820217,0.73933643,-0.4051792,0.040549986,-0.5164768,-0.65350753,0.54760057,0.3748845,-0.32737347,0.17670895,0.6186338,0.52552056,-1.1669878,-1.0880973,-0.81667185
3,1,0.124041356,0.28167513,0.3545961,-0.021314878,-0.053862825,-0.209364,-0.092469014,-0.056060586,0.25790957,-0.0576612,0.4106095,-0.1734813,-0.29143193,0.08360183,0.1663084,0.12155735,-0.16003655,0.013896721,0.22127199,0.09694016,-0.15087542,0.06721357,-0.13666955,-0.076049715,-0.27739042,0.091602266,0.2514428,-0.3039683,0.055522807,0.049590904,0.08154212,-0.085720845,-0.039996505,0.014590161,-0.12666415,0.06046862,0.003703577,-0.24722296,-0.029103953,-0.036687005,0.11080403,-0.16517757,0.22767732,-0.06258138,-0.10541249,0.12778784,0.058064446,-0.32805225,-0.31412786,0.07586602
4,2,-0.016776046,0.29098368,0.4469643,0.13632856,-0.011666261,-0.43279514,-0.29477683,-0.09166212,-0.026799854,0.068349935,0.33493578,-0.2918122,-0.25415882,0.0388113,0.029483035,0.14251354,-0.2564531,-0.08263347,0.48439965,-0.112062015,-0.24259713,0.091658436,-0.4012043,-0.010110029,-0.4782924,-0.043731734,0.11120036,-0.25948274,-0.0023191096,-0.1446492,0.066094376,-0.010583617,0.24217616,-0.095122404,0.1548593,0.01962803,0.0963917,-0.28831682,0.05727191,-0.044837277,-0.0045620487,0.13469456,0.43656048,0.010558244,-0.031360146,0.06694148,0.031333216,-0.32192078,-0.47872686,0.14829637
5,1,0.009364161,0.39452386,0.6536015,-0.10028455,-0.2717306,-0.43055528,0.12381122,-0.11235305,0.10209246,0.01053915,0.20287828,0.0012208091,-0.15251926,0.13681795,0.21444207,0.26761493,0.02406025,-0.1972482,-0.007482138,0.002436496,-0.115039736,0.24233864,0.0018408874,-0.13337529,-0.48342425,0.083104126,0.40621772,-0.4605766,-0.13291621,-0.1958636,-0.029489525,-0.3624415,0.23709792,-0.10274418,-0.05456539,-0.25384223,0.10263739,-0.3078292,0.08137285,-0.29548416,0.009310316,0.13067512,0.3710191,-0.0118381,-0.15629092,0.10379281,0.26164815,-0.72175807,-0.5704947,0.06769479
6,2,0.16813338,0.24420874,0.6265774,-0.049330685,0.0066894237,-0.6020823,-0.108210325,-0.006701095,0.38138,0.14786007,0.568863,-0.38474473,-0.47441044,0.19099012,0.04459307,0.38649288,-0.03258091,-0.26483417,0.28965783,0.1271184,-0.30303022,0.17526618,-0.32324108,0.020438313,-0.5266581,0.022813184,-0.0051200176,-0.53284687,0.15120406,-0.1268024,-0.016070789,-0.39566603,0.09859478,-0.11478022,-0.037086654,0.007058692,-0.13441023,-0.3702514,0.041267317,0.026566533,0.3334671,-0.035225328,0.2503495,0.12244236,0.063758075,0.07338366,-0.020353392,-0.394437,-0.67107064,-0.011321503
7,1,0.21130122,0.31895223,0.29026723,-0.18941367,-0.040203564,-0.457941,-0.01072023,-0.0056292797,0.2299618,-0.072256655,0.5727618,-0.53400236,-0.34510413,0.2938371,0.18136281,0.14543647,-0.15412733,-0.31860712,0.23834765,-0.23421401,-0.15399018,-0.00042012066,-0.2371333,0.2014616,-0.71390295,0.15416019,0.26461965,-0.38260174,0.019626098,0.02657617,0.29635802,-0.23195465,0.20948854,-0.042726066,-0.0034402767,-0.2609447,0.12550339,-0.33494887,-0.13137096,-0.23163365,-0.06993538,0.06147201,0.36760768,-0.13865554,-0.13757017,0.5318064,0.13097115,-0.4177012,-0.5097228,0.07818854
8,1,0.064692564,0.4702883,0.50644636,-0.30819815,0.04109429,-0.47709364,-0.018298965,0.16538362,0.30139154,-0.046566904,0.068350166,-0.4013598,-0.13934338,0.06396657,0.020790977,0.13211589,-0.151806,-0.28669924,0.5579769,0.14269543,-0.09806171,0.096100904,-0.2843861,-0.044553053,-0.2170674,-0.0413277,0.3698186,-0.6464871,-0.049717873,-0.44607085,-0.25456017,-0.2569382,0.3833176,0.03766862,-0.008692438,-0.20814195,0.30707747,0.1223814,0.13721336,-0.40042433,-0.28034234,0.1242992,0.4085775,-0.038315676,0.07124557,0.25159326,0.39465585,-0.66683424,-0.5563684,-0.29326853
9,3,0.25433096,0.3956226,0.39032865,-0.07524412,0.025049115,-0.38459724,0.057066552,0.022828849,0.37071058,-0.025060166,0.60291696,-0.44919103,-0.5473318,0.20639461,0.09709553,0.1654504,-0.20891032,-0.05312555,0.3357636,0.12568282,-0.112807,0.08706253,-0.26365486,0.073146224,-0.46786812,0.037568543,0.49207073,-0.38564283,0.0023626545,-0.07106723,0.20179015,-0.0018109707,-0.044560533,-0.22341599,-0.069629386,-0.053105853,0.053019747,-0.2970561,-0.055450723,-0.14604057,0.25467932,-0.13316382,0.45670426,-0.089311026,0.03989166,0.28591612,-0.19706729,-0.42527488,-0.5102507,0.0773815
10,2,0.061682664,0.24212274,0.6638726,-0.17013672,-0.04496231,-0.390554,-0.04920756,0.010246529,0.2861543,0.08968568,0.5147726,-0.24083468,-0.2393726,0.002942832,0.053757824,0.2665122,0.017629514,-0.11094457,0.27751935,-0.0021293645,-0.18404986,0.23431915,0.0091626905,-0.04077213,-0.32770354,0.08691103,0.46455297,-0.34884426,-0.12370774,-0.004849523,0.08220024,-0.16767032,0.05952448,0.007454298,-0.1735961,-0.037391927,-0.024280375,-0.29929563,-0.04754661,-0.16316408,0.035343673,-0.04586181,0.25533018,-0.15226266,-0.21032955,0.42348397,0.1012149,-0.44625682,-0.37212798,0.095090024
11,2,0.17760059,0.25292268,0.3637222,-0.0132932495,0.024549073,-0.2992768,-0.057511047,-0.013892429,0.20372662,0.04718316,0.5094836,-0.33620775,-0.28219256,0.10256359,0.12846316,0.079065025,-0.11107707,-0.015872981,0.21806395,-0.0026275502,-0.18474406,0.012346025,-0.32481417,-0.10458003,-0.29338488,0.014688233,0.32428652,-0.44180688,-0.11892714,0.045995034,-0.047222078,-0.034674402,-0.056157533,-0.022131758,-0.1452213,-0.04722641,-0.02472676,-0.30087018,-0.010224983,-0.1341459,0.15996198,-0.1379586,0.29709357,-0.03879936,-0.09531064,0.17440727,0.015853994,-0.36100423,-0.49553335,0.06299978
12,1,0.18129607,0.2416541,0.30212072,-0.05125281,0.011476898,-0.33077615,-0.1986041,-0.2013547,0.2334507,0.12815562,0.29363334,-0.5019849,-0.12582907,0.10280119,-0.020388927,0.36469844,-0.06643261,-0.19883762,0.24241361,-0.11306169,-0.022217616,0.045938,-0.13150398,0.044100337,-0.34496304,0.09371273,0.42996162,-0.4102453,-0.12568939,0.02430217,0.062302034,-0.40987653,0.08361373,-0.1262587,-0.037401743,0.012085161,0.086936966,-0.12784487,-0.013840744,-0.22216126,-0.014382533,-0.2103979,0.13142796,-0.14379539,0.007588195,0.21001264,0.05364198,-0.33576936,-0.5180225,-0.010015298
13,1,-0.012734618,0.20109834,0.24582595,-0.12006524,-0.114631824,-0.146914,-0.079849735,-0.12787029,0.17431135,-0.032547034,0.34729075,-0.16984707,-0.15550207,0.037482083,-0.03203253,0.18967389,0.008631236,-0.18435113,0.17656036,0.016115641,-0.040796477,-0.009410275,-0.08677652,-0.050453298,-0.14353439,0.23564245,0.23629557,-0.3982172,-0.093648665,-0.08107387,0.067437105,-0.15585431,0.07761249,-0.11192021,-0.08228907,0.041645557,-0.07412493,-0.12123386,0.017504064,-0.09205558,0.17179191,-0.035311624,0.15278119,-0.068963885,-0.13456875,0.03514379,0.06294268,-0.2798041,-0.37619746,-0.052897215
14,1,0.0503605,0.122295626,0.38949358,-0.059801854,-0.028051455,-0.3479559,-0.21887317,-0.018412203,0.1447696,0.12512252,0.082846284,-0.07970268,-0.21579354,0.03852851,-0.009580836,-0.0136816455,0.025566254,-0.016035628,0.062424455,0.028277144,-0.012700945,0.0322349,-0.0032471158,0.057288196,-0.15238628,0.02408227,-0.032005128,-0.07392158,-0.13313654,-0.15958212,-0.0748372,0.039515957,-0.020163134,0.12796259,0.12652022,-0.02005443,0.14932969,-0.16120091,-0.15448381,-0.1625948,-0.07035951,-0.08447506,0.21297935,0.04523504,-0.14751312,0.117770486,-0.082007706,-0.4738374,-0.27965802,-0.007526866
15,0,-0.03984502,0.12731765,0.36159492,0.04005601,-0.02139635,-0.53743356,0.04278357,0.09339763,0.10702242,-0.025193717,0.3966969,-0.39835662,-0.11174945,0.371256,0.14523979,0.42699742,-0.2307406,-0.2237717,0.06289625,0.043698236,-0.17776662,0.28881073,-0.0953174,0.009344789,-0.39906615,-0.035346113,0.2250013,-0.4544163,0.16830559,0.022294708,0.09706031,-0.27963775,0.121262446,-0.07077487,-0.016844982,-0.056651164,0.019486288,-0.13867308,-0.033568636,-0.093871385,-0.07478251,-0.016831975,0.29555044,-0.16730733,-0.111470826,0.12990262,-0.018631646,-0.31825924,-0.42251837,-0.13369218
16,2,0.0013846705,0.2737719,0.54855156,-0.275278,-0.10413304,-0.41249534,0.058326945,0.13234903,0.30113712,-0.1060006,0.3735156,-0.31569672,-0.344561,0.17715137,0.19873124,0.27436206,-0.041188605,-0.27375564,0.31877035,0.08793337,-0.18432413,0.32358113,-0.13828461,-0.012417867,-0.3435497,0.024228627,0.4160659,-0.42874014,0.04175153,-0.28702486,-0.046695657,-0.37720272,0.15276608,0.02285297,-0.113860786,-0.15768753,0.1413474,-0.42221528,-0.11077743,-0.27090415,-0.04291839,-0.029248558,0.27304906,0.021327129,-0.026812142,0.38613635,0.029350093,-0.2857308,-0.72788906,0.1644401
17,2,0.1764571,0.045412853,0.37200665,-0.19852127,-0.02654741,-0.34779918,0.054849118,-0.081845336,0.14502016,0.04666679,-0.05082216,-0.16419703,-0.089230575,0.43007186,0.12820107,0.15038918,-0.024342539,-0.2168915,0.15672052,-0.09110216,-0.13008519,0.2510305,-0.15884513,-0.018943127,-0.14052881,-0.14299351,0.047157403,-0.28315276,0.028182372,-0.17240874,0.098921284,-0.36184454,0.10037599,0.11521429,0.18327789,0.03537503,0.15385717,-0.17464273,0.011678386,-0.24840063,-0.09094729,0.026818255,0.256249,-0.105269164,0.0428135,0.18994637,0.033162348,-0.42377052,-0.45524853,-0.14230898
18,3,0.13492146,0.28247523,0.35753915,-0.07034206,0.054162454,-0.36046672,-0.04656759,0.03781077,0.10042924,0.052508585,0.07439721,-0.011291578,-0.25718585,0.031940393,0.06175013,0.20243089,0.0175861,-0.0028362037,0.1250347,0.15786831,-0.10425011,0.17365687,-0.05664727,-0.011322853,-0.28585976,0.040636625,0.098481685,-0.07081108,0.003651958,-0.1204921,0.07244521,-0.1720038,0.06335895,0.07616882,0.06468431,-0.07337733,0.03424627,-0.19848086,0.022895735,0.019635705,0.10032179,0.051947612,0.20523089,0.0069651576,-0.13688353,-0.07514464,-0.013069752,-0.31384128,-0.24660403,0.1668135
19,1,0.03438653,0.14069322,0.43012348,-0.09072596,0.042000186,-0.15440354,-0.12491732,0.10041625,-0.0019117186,0.046717487,0.22798769,-0.10761842,-0.19434911,0.09694691,0.07300017,0.027271554,-0.10957678,-0.02973545,0.19329524,0.1635822,-0.058410294,0.034443803,-0.06909717,-0.031703718,-0.30588478,0.0690906,0.13573822,-0.37280482,-0.09028343,0.053364065,-0.024741348,-0.07913846,-0.103582405,0.032148175,-0.13059205,-0.045408685,-0.021463756,-0.0961081,-0.03004629,-0.0029362333,0.13884234,-0.030866783,0.15741046,0.006463992,-0.124198,0.1770292,0.12348973,-0.18810412,-0.29028723,0.066904165
20,1,0.06341433,0.22669709,0.48334303,-0.09492886,-0.10879355,-0.4206243,-0.017561885,-0.09851884,0.29231855,-0.0055627585,0.32843888,-0.23035222,-0.18900332,0.062436216,0.031523753,0.2278981,-0.0755517,-0.25687703,0.23551033,0.030977387,-0.116105005,0.20933366,-0.11863015,-0.0846666,-0.22043541,-0.0052940333,0.3590048,-0.51809114,-0.004252955,-0.04365747,0.010794556,-0.23812342,0.20961128,0.042722914,-0.1993689,-0.14635901,0.03854317,-0.18340307,0.061503574,-0.22439674,-0.13214083,-0.093826406,0.24956656,-0.06929821,-0.035191894,0.33854753,0.15370671,-0.43978047,-0.5442481,-0.06032151
21,1,0.1781705,0.4172586,0.64035517,-0.16997653,-0.1052826,-0.27620485,-0.05757637,-0.42567486,0.44756752,0.42044017,0.3449437,-0.29846436,0.0017717502,0.08382299,-0.14048901,0.7548791,-0.099607825,-0.2491338,0.22981751,0.075261906,0.03996752,0.3107166,-0.35909536,0.031304616,-0.33373594,0.10615001,0.23077424,-0.2406203,-0.26710314,0.11081827,0.18241356,-0.73771775,0.5041225,-0.21732064,-0.041854095,-0.079859935,0.021149935,-0.08879136,0.14860184,-0.42211464,-0.40809694,-0.12625104,-0.21041214,-0.04626505,-0.03769447,0.31594917,0.37572828,-0.73814464,-0.866473,-0.29869065
22,1,0.15576176,-0.052843142,0.74409455,-0.49050316,-0.23760155,-0.51030356,-0.20962127,0.10260296,-0.14843535,-0.03935752,-0.03524359,-0.74742025,-0.37498918,0.19835104,-0.023254057,-0.08758614,-0.2196812,-0.4226613,0.4139804,0.15035611,-0.13859886,0.45295942,-0.13085672,-0.4079844,-0.17623699,-0.16030797,0.64802086,-0.6430146,0.094165914,-0.36696732,-0.3377268,-0.44776478,0.36137384,0.31201795,0.33411023,0.20957467,0.13988906,-0.2618568,0.21994567,-0.33387756,-0.2596921,-0.022902422,0.26007617,-0.062380288,-0.08652352,0.34434304,0.02969861,-0.48315886,-1.018241,-0.21723142
