no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,0,0.054622386,0.16223787,0.10727194,-0.1893939,-0.029977512,-0.19789425,-0.060651198,-0.08896745,0.057953086,0.013424398,0.33853897,-0.40132028,-0.14357014,0.02215718,-0.07904626,0.18423094,-0.02851633,-0.022685483,0.21683893,0.048327528,0.012470283,-0.011241321,-0.15435198,0.042676568,-0.10060087,0.18834952,0.2278758,-0.32240263,-0.0072014253,0.06838957,0.026513658,0.084539026,0.026170634,-0.009772188,0.00042427948,-0.12725164,-0.022498703,-0.030377736,-0.02684072,0.072156966,-0.0010941683,0.07588822,0.2555684,0.12718609,-0.04383499,-0.028201332,0.009466444,-0.25801203,-0.13630849,0.15877077
2,0,-0.103965014,-0.58208805,-1.1168356,-2.6349413,-0.0663161,-2.0290587,-0.81454295,-0.24280308,1.1214657,0.13323529,2.0005178,-2.991904,-1.1398335,0.060910456,-0.7096086,0.026363127,-0.6857308,-0.1805387,-0.4962312,-0.3448121,0.24296641,0.14663468,-1.9687593,1.5922427,-1.3087263,-0.6768297,2.1582253,0.033687014,-0.27087808,1.9261322,0.8508395,-0.26869857,-1.3434905,-0.4331871,-0.35631725,0.12923716,1.890819,-0.90060097,-1.3326062,-1.3145863,0.96037406,0.55812967,1.1238769,1.5170953,-0.5432436,2.7650604,-1.4720778,0.35488114,0.41018778,0.23686494
3,0,0.007220232,0.04548025,0.10982962,-0.009149903,0.042298418,-0.12362319,-0.047909528,-0.033067886,0.19912511,-0.053179417,0.1924584,0.07645475,-0.17377457,0.017681079,-0.0859022,-0.08076651,-0.08476912,0.16391629,-0.12536792,0.024857836,0.0039625955,0.06559324,-0.029200811,0.013447472,-0.13612084,0.08061047,0.11926976,-0.080515504,0.13502589,0.048132986,-0.03793414,0.06574315,-0.005859407,-0.01121763,0.026029602,-0.058523454,0.101061665,-0.033726282,-0.039067395,-0.1178279,0.042138606,0.017164841,-0.008595579,0.13203448,-0.0015247455,0.0705911,-0.054182537,-0.18319052,0.0685539,-0.0023653964
4,0,-0.025409129,0.049907666,0.078236,0.020278974,0.025979735,-0.06314685,-0.018169979,-0.019874247,0.14022484,0.0015800707,0.05837532,-0.122312166,-0.062125802,-0.035949327,0.0061113676,0.05202693,0.01548953,-0.015895016,-0.041167445,0.03711647,0.022291759,0.05293136,-0.06609686,0.057608508,-0.10133102,0.06796974,0.086752884,-0.095486596,0.011679241,0.029469624,0.02598729,0.05117748,-0.0029156215,-0.0062067485,-0.07477117,-0.04720688,0.08064148,-0.008075245,0.023143418,-0.03750181,0.059060283,-0.001456012,0.013311792,0.05721614,-0.0372164,-0.0063873716,0.078626305,-0.10707685,-0.006429649,0.0041816477
5,1,0.09327185,0.050695352,0.106765255,0.051160045,0.042845562,-0.046094958,-0.02405994,-0.045345277,0.20361033,0.117216356,0.09334666,-0.15926874,-0.05422496,0.036198553,0.020844923,0.0011727344,0.025238052,0.063099295,-0.10332328,0.009087748,0.08024489,0.021207796,0.011528797,0.09853129,0.019882461,0.05699061,0.09924226,-0.051767822,0.060795825,0.03686158,-0.0077697835,0.06046746,0.032767873,0.0705076,0.040022667,-0.07450302,0.068086386,0.071226224,0.08006438,-0.06320364,-0.06745509,-0.06277835,-0.07977383,0.10658968,0.041824218,0.11603612,0.035090152,-0.09256096,0.09071396,-0.011672119
6,0,0.03591915,-0.023253433,0.026258234,-0.12609378,0.14050423,-0.2261854,-0.09503843,-0.32945907,0.066507824,0.071268186,0.09576603,-0.097123496,-0.055169508,0.022833254,-0.23514657,0.17643328,-0.061529186,0.1173578,0.19352767,-0.20550178,0.014402375,-0.04776594,-0.23405832,0.08604127,-0.023096895,-0.15970922,0.2511288,-0.22168542,0.01979316,0.14345875,-0.0998019,0.105023414,-0.17133744,0.010951273,0.0072517837,-0.022049382,-0.061452426,0.08494467,-0.005681056,0.16469902,0.103281975,0.019895716,0.15860862,-0.12048382,-0.13640189,0.12215925,-0.09089503,-0.05323802,-0.104081884,0.11251757
7,0,-0.2927528,-0.1257574,0.09313035,-0.6855968,0.52068245,-0.5638826,-0.5767263,-0.53990513,1.0416014,0.19180226,0.30874088,-0.6640222,-0.48047033,-0.12993224,-0.36922544,-0.29448807,0.25377354,0.13215992,0.33675984,0.013183679,0.44658715,0.3797462,-0.21271378,0.20761578,-0.3853471,0.028416567,0.5851954,-0.52484477,0.2663797,0.10734715,-0.52582145,0.0708696,-0.3504444,-0.4678347,-0.3651457,-0.093609855,-0.1082,-0.09940145,-0.09885533,0.127295,0.3633752,0.15531546,0.70379263,0.5108699,-0.3029087,0.6158614,-0.38558435,-0.40982935,-0.85543215,0.11104145
8,0,0.14613111,0.0793629,0.111204796,-0.023176827,0.050307788,-0.0960717,-0.15456839,-0.06634705,0.21931982,0.051384944,0.111757755,-0.1331922,-0.081201226,0.09017014,0.0030592475,0.01407485,0.005288768,0.04017616,-0.17819221,-0.005809446,0.016427863,0.07912424,-0.064862646,0.09193424,-0.055024426,0.13334674,0.12839986,-0.06005563,0.040967382,0.06173552,-0.0067633516,0.02200213,-0.056574374,0.1221388,-0.041909277,-0.038551565,0.0411784,-0.045051705,-0.0058822418,-0.09768382,0.017312732,0.062825054,0.08966419,0.11711249,0.019215051,0.06595288,0.0029805352,-0.16777727,-0.014145317,0.07586458
9,0,-0.07450167,0.11016413,0.20073359,0.18052234,0.092099644,-0.11056368,-0.27973676,-0.13839142,0.22047026,-0.2912567,0.14328732,-0.07980037,0.1240062,-0.031003565,-0.02782857,0.15145981,-0.032707367,0.051587142,0.04967385,-0.047560226,0.005572293,0.29857513,-0.03337232,0.0049594077,-0.46926504,0.079780236,0.381256,-0.29940832,0.20961855,0.120646745,-0.11562961,0.018910699,-0.027803458,0.08367572,-0.15631846,-0.13966754,0.12460235,0.06569273,-0.23715582,-0.04716968,0.48296666,0.030679956,0.30863714,0.056312192,0.040589925,0.18579069,-0.11911119,-0.0845645,-0.14498983,0.30293632
10,0,-0.025969934,-0.87880945,-0.32620925,-0.04667901,0.7011495,-1.5843683,-1.5595566,-0.8035421,1.4798319,0.41617924,1.106056,-0.8017436,-1.2902035,0.24673074,-1.4506558,1.1510234,0.49441585,0.29682526,-1.1738883,0.950058,1.2018803,0.1440512,-0.33986238,0.3653194,0.4784181,-1.0607172,1.0115033,-0.8191102,0.31047532,0.2197853,0.24886101,0.5157737,-0.6247728,0.7566903,0.0862196,-0.5573406,0.8236242,-0.19225937,-0.95408565,-1.1330683,1.0695989,0.50260615,1.0470057,1.2552781,0.13923413,-0.1396125,-0.8777608,-1.2021388,-0.15482372,0.21881324
11,0,0.17183773,0.29519695,0.30271223,-0.12938674,0.084919,-0.36090222,-0.19831416,-0.16407974,0.29447806,0.045352332,0.3623415,-0.31504026,-0.3831078,0.099901594,-0.023805812,0.2746802,-0.42178673,0.08260138,0.32461557,-0.12038295,-0.26539716,0.062791675,-0.33101317,0.061036617,-0.29170772,0.26043725,0.4765527,-0.4149577,-0.00055543403,0.084481694,-0.08309291,-0.04956472,-0.1463406,0.03201464,-0.077997714,0.024216846,-0.12278177,-0.25164807,-0.025477253,-0.15342957,0.35679618,0.13602956,0.22271106,0.07523744,-0.15725362,0.2362591,0.12058766,-0.28331888,-0.3900812,0.16253114
12,1,-0.070323534,0.11854884,-0.051193226,-0.16006441,0.32857734,-0.48529494,-0.045249883,-0.30448034,0.63903415,0.04987977,0.36048186,-0.38351914,-0.18210569,0.39170346,-0.3269506,0.3135801,-0.046953008,0.04955864,-0.3914027,0.13405395,-0.05738688,0.299824,-0.20408575,0.3187132,-0.27328604,0.042318262,0.36082336,-0.19556338,-0.047722165,0.07638208,0.23696539,-0.0145877665,0.030021623,0.09847371,-0.029710492,0.12972932,0.22175117,0.0661743,-0.36713463,-0.024361307,0.16586547,0.50309986,0.14238308,0.27581736,-0.23115775,0.27101603,-0.33912086,-0.27623206,0.18689553,0.31667975
13,0,-0.25328687,-0.050378658,0.3348438,0.48705637,0.5506319,0.20755294,-0.5389304,0.004121809,0.07770699,-0.10302255,0.104778595,-0.42022657,-0.6261097,-0.41978794,0.4536242,0.3114758,0.013350897,-0.16900845,0.53520143,-0.08670251,-0.34501994,0.36202034,-0.108243436,0.1645116,-0.035937633,0.37490404,-0.041464623,-0.12569846,-0.10265662,0.32480547,0.06751804,0.072219625,-0.43930614,-0.1883157,0.21979275,0.39200473,0.19767934,-0.2523113,-0.51619095,0.059876874,-0.3115758,-0.15627179,-0.06924508,0.0972734,0.25057086,0.3171246,0.26762283,-0.5678424,-0.14449309,0.29415464
14,1,-0.25169286,-0.40591955,0.4464958,0.15038313,0.3549577,-0.64202785,-0.55706334,-0.1132848,0.5672335,-0.030352488,0.38707882,-0.84110135,-0.90521145,0.37730864,-0.54109186,0.7169155,-0.32921898,-0.236481,-0.41786525,0.27947852,-0.37587327,0.046971783,-0.7408716,0.3378598,-0.1171335,-0.16512011,0.53663445,-0.7571312,-0.15317012,0.5037441,0.31847614,-0.16902396,-0.015786238,0.17209238,-0.041901607,0.0015048166,0.20255776,0.015430486,-0.6298115,-0.28029788,0.31291518,0.2341925,0.71480703,0.5216368,-0.3326706,0.45815322,-0.30376706,-0.74320877,-0.3721447,0.24830495
15,0,0.012366982,0.14700605,0.11790341,-0.02337726,0.1395358,-0.25810364,-0.1148328,-0.022403378,0.21940963,0.05353473,0.12934186,-0.23051615,-0.26531196,0.2754685,-0.03266113,0.23613334,0.07217307,0.07563341,0.06508938,0.1243721,-0.1012678,0.16487847,-0.1096011,-0.09549247,-0.21213298,-0.04226672,0.2389065,-0.16544761,0.021693185,0.026515381,-0.057991855,0.0487374,0.018885199,0.025088148,-0.10991814,-0.059492107,0.025561262,-0.19262946,-0.06471417,0.12207838,0.1432056,0.0022414625,0.36105192,0.13320974,-0.018552039,0.0026650615,-0.088297635,-0.117865115,-0.18242097,0.04136038
