no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,0,0.09397175,0.1710245,0.23053604,-0.08977371,-0.059220765,-0.08747384,0.07777424,-0.04957151,0.13406414,0.019514443,0.47905475,-0.21795586,-0.39496523,-0.03341839,0.11219161,0.0028347604,-0.17047386,-0.046299644,0.16094257,0.09550303,-0.013179855,0.056164946,-0.15122475,0.041821763,-0.16488257,0.056388356,0.1609991,-0.28475744,-0.056790058,0.09367501,-0.06446502,0.13020642,-0.034044005,0.028479524,-0.14356591,-0.14086697,-0.10597245,-0.12998848,-0.023075717,-0.02521496,0.123009875,-0.029653195,0.13521574,0.036899924,-0.17704307,-0.010927761,0.01886184,-0.11758826,-0.20726466,0.06032789
2,1,0.065440685,0.14908618,0.32581228,-0.012724882,-0.028343042,-0.20407976,-0.024326537,-0.050742995,0.23267274,0.022723401,0.3035758,-0.16556492,-0.2608701,0.049755454,0.09072482,0.07041683,-0.07237378,-0.0020819488,0.16514584,0.09175738,-0.1904404,0.10246439,-0.1582458,-0.005434322,-0.33488712,0.10148294,0.29018176,-0.248758,-0.08586616,0.038832832,0.08995004,-0.1007371,-0.0015131908,0.032000236,-0.22922263,0.052286793,0.018677168,-0.231727,0.00044436526,-0.10981591,0.10173076,-0.06761372,0.2146858,-0.02158755,-0.06119166,0.12373263,0.023171933,-0.2560631,-0.25676647,0.12563902
3,3,0.05740224,0.035727557,0.080619626,0.017221982,0.010261297,-0.044205707,-0.03131623,-0.0018261396,0.052371986,0.042381022,0.04590071,-0.009276431,-0.08595014,-0.016294476,0.015159992,0.010692397,-0.0327321,0.046208538,0.044881523,0.011384042,0.012824037,0.048013978,-0.026637763,-0.06235689,-0.06745623,0.029417533,0.077072255,-0.07326595,-0.021366397,0.04002436,0.004928351,-0.022822931,-0.05690959,0.03195637,-0.0710127,-0.06272848,0.010156126,0.013550514,0.002608265,-0.0065711746,0.06344144,0.0033639446,0.087129846,-0.032565523,-0.043503996,0.032843776,0.00034011333,-0.030537881,-0.08989339,0.0650254
4,1,0.051983267,0.18386085,0.13577227,-0.06899552,-0.031607352,-0.2044067,0.0384478,-0.09368609,0.070188,0.06038656,0.18061379,0.01077624,0.0025811405,-0.010582731,0.11946939,0.05268782,-0.045479912,0.079860866,0.047365543,-0.027984256,-0.02249053,0.05332804,-0.033491567,-0.10161018,-0.19562316,0.02339882,0.14614911,-0.12680888,-0.046341863,0.051484995,0.021720305,-0.0397717,-0.0029105546,-0.084101394,-0.058647692,-0.0012337267,0.028422656,-0.12690227,-0.018408397,-0.0037900486,0.052227788,-0.02965354,0.09798836,-0.00046842668,-0.13619727,0.068618685,0.0598589,-0.23289782,-0.18090416,0.060443476
5,1,-0.0052278433,0.024407549,0.076769285,-0.08142234,-0.008325953,-0.048894472,0.08546131,-0.019320248,0.011429511,-0.014328128,0.087567806,0.0746259,-0.010459535,-0.07363139,0.048155565,0.025811149,-0.043351866,0.0021654419,-0.008008685,0.0016004094,0.06585816,0.059052814,-0.062710196,-0.088528246,-0.05145928,-0.017771536,-0.0051558353,-0.029349329,-0.0843691,0.0777085,0.08922505,-0.054575235,-0.0056372928,-0.045543063,-0.057923377,-0.014003545,0.035100326,0.0015988684,-0.010363185,-0.035564892,-0.033408243,0.008852536,-0.013137963,-0.03326946,-0.08783085,0.08515321,0.054746732,-0.07122143,-0.06307165,0.066633664
6,1,0.02691732,0.07983393,0.12440848,-0.056751877,-0.026075732,-0.121581905,0.048707932,-0.05681384,0.062004466,0.005794191,0.11626827,0.034413602,0.0093409,0.0027157832,0.07994055,0.043613885,-0.008516241,0.025863184,0.04263417,-0.027458474,-0.025905762,0.046810627,-0.06976661,-0.06762436,-0.20017281,0.015036092,0.10664834,-0.06641695,-0.022056283,0.017278282,0.014354385,-0.030933771,-0.024987046,-0.097272985,-0.061282404,-0.014469943,0.036611978,-0.09254615,-0.0052774153,-0.030692913,-0.013637745,-0.017958524,0.0338103,-0.014178161,-0.15043356,0.12523209,0.078479595,-0.16922806,-0.11922974,0.054848127
7,1,-0.04875556,0.37547436,0.37533882,-0.09457323,-0.023014696,-0.19926174,0.041584324,0.042042702,0.25592735,0.006946584,0.4039275,-0.21672015,-0.49822566,-0.08941371,0.17992741,0.070226595,-0.14377382,0.10601532,0.35404456,0.013360577,-0.25639188,0.08580837,-0.092512235,-0.08290887,-0.3179816,0.12420358,0.579125,-0.30476958,-0.084951006,0.17008995,-0.12509912,-0.10584395,-0.068195604,0.016265795,-0.2467089,-0.040915195,-0.09780451,-0.32468614,0.07208102,-0.14885068,0.2491681,-0.14733604,0.1982828,-0.21299197,-0.1904217,0.18134438,0.004532926,-0.4088183,-0.55872464,0.22905543
8,1,0.047817815,0.002625931,0.07364126,0.013265961,-0.06499404,-0.0049723545,-0.02421087,-0.003125488,-0.010724357,0.053632874,-0.05287008,-0.036203053,-0.052628484,-0.034947865,-0.031265464,-0.03629657,-0.09000764,0.1398124,0.056113314,0.0019432255,0.066512905,-0.06385399,0.030915178,0.07233218,0.01869986,0.1547625,0.088017635,0.04525645,0.009985004,0.011245817,-0.1180064,0.071051024,0.018204171,0.03450721,0.010982039,-0.021236142,0.037736923,-0.010026688,0.012501475,-0.0059097507,0.050307877,-0.018128658,-0.1285518,-0.0019078609,0.070873566,0.10604346,0.030536793,0.016338414,-0.00900728,0.037687246
9,1,0.017845098,0.15505172,0.2986486,-0.08206434,-0.11593496,-0.13213694,-0.103382915,-0.12855119,0.1604304,0.03886497,0.37114275,-0.05447156,-0.28755048,-0.080363706,-0.03088969,-0.008622665,-0.13319798,0.11625341,0.26276472,0.06883912,-0.06421171,0.067203276,-0.16908512,-0.113042496,-0.045058027,0.21038233,0.4504735,-0.37497377,0.037846714,0.018522473,-0.18060014,0.06715981,0.09627614,-0.12314408,-0.10253341,-0.100002214,-0.07222609,-0.19637342,0.064648874,0.0031131285,0.11795564,-0.114029065,0.057216953,-0.17083853,-0.09288239,0.09369876,0.028783672,-0.11300354,-0.30333588,0.0636016
10,2,0.047934856,0.12301441,0.120547324,-0.009241678,-0.033332035,-0.07060191,-0.0866029,-0.02194004,0.15470733,0.0436323,0.11405039,-0.07609527,-0.13286817,0.046851307,0.090294935,0.024260914,-0.048510384,-0.0012702574,0.019551337,0.029429285,-0.055315726,0.07595852,-0.04243251,-0.019516721,-0.17565241,0.055541057,0.15796632,-0.03489187,-0.018075645,0.041402597,0.02830144,-0.0043457597,-0.06600999,0.05242271,-0.046783775,0.003834393,-0.009257952,-0.1393,-0.001716495,-0.10191389,0.029351585,-0.07207715,0.0665649,-0.02608226,-0.010922957,0.10194657,0.023833625,-0.09957557,-0.113960385,0.050741393
