no,story,feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28,feature-29,feature-30,feature-31,feature-32,feature-33,feature-34,feature-35,feature-36,feature-37,feature-38,feature-39,feature-40,feature-41,feature-42,feature-43,feature-44,feature-45,feature-46,feature-47,feature-48,feature-49,feature-50
1,100,0.21055143,0.24740997,0.55064195,-0.036594834,0.032744657,-0.32696065,0.019877402,-0.20160653,0.15575498,0.0015807402,0.34240863,-0.24829604,-0.48244804,-0.035662744,0.1613311,0.097523846,-0.06628738,-0.4064745,0.18982813,0.051060494,-0.18183945,0.17939728,-0.2812798,-0.023525907,-0.3199368,0.27911404,0.42376268,-0.24181065,-0.03980213,-0.03457346,0.06640522,-0.1359279,-0.30078068,-0.17862362,0.09046227,-0.15387742,-0.24334279,-0.22661185,-0.34460077,-0.12434591,0.25417966,-0.41350368,0.19068825,-0.27660933,-0.16206194,0.083621755,-0.072826676,-0.48261037,-0.4980878,0.21051052
2,100,0.03230963,0.1425259,0.14166202,-0.022734476,-0.01336993,-0.131001,-0.023739489,-0.03220307,0.07265359,-0.07041656,0.24109052,-0.13000095,-0.124582276,-0.010228239,0.073003806,0.04345006,-0.065695256,-0.00726805,0.18702723,0.068154305,-0.11779853,0.037079256,-0.07542486,-0.09811192,-0.15144157,0.08972491,0.162938,-0.19730145,-0.029360594,0.10533257,0.0014054507,-0.052873433,-0.039301425,-0.07233457,-0.061922364,0.050871316,-0.030934064,-0.14158922,-0.055902656,0.0005461932,0.06387255,-0.15415284,0.13549148,-0.013629993,-0.032856762,0.026821226,0.0067345314,-0.1807338,-0.24266109,0.018728197
3,20,0.029591111,0.106863625,0.26793987,0.026521355,-0.06597729,-0.15894184,0.0210619,-0.047939464,0.20888945,-0.057736795,0.16267689,-0.19183172,-0.22626105,0.01246511,0.050699677,0.0897613,-0.025415596,-0.074316315,0.17390658,0.11793758,-0.1566144,0.106459,-0.14202656,-0.11130773,-0.25282052,0.055496164,0.14968221,-0.23002885,-0.06351458,0.06999234,0.053341545,0.03258863,-0.0845261,-0.04304636,-0.14455177,-0.12190696,-0.029638443,-0.1841141,-0.06879075,-0.011041589,0.0574056,-0.08587571,0.07012532,5.2718795e-05,-0.102137126,0.111487575,0.011458665,-0.25082573,-0.27896017,0.05538735
4,20,0.02820677,0.14328876,0.18570377,0.045945667,0.056455117,-0.10286396,0.061573178,-0.062928095,0.04156649,-0.18214574,0.12222113,-0.26289743,-0.16110788,-0.059314117,0.09335337,0.039737653,-0.06689564,-0.07734449,0.29130122,0.09346149,-0.016592516,0.10583797,-0.17318286,-0.056799315,-0.14134714,0.00049619284,0.0072826045,-0.18544854,-0.028180594,-0.054522388,0.0075169476,-0.032371312,-0.08885019,-0.124730684,-0.0073339194,0.042462938,0.003726243,-0.061525922,-0.1038467,0.01006529,0.05229643,-0.09073283,0.098642364,0.012049312,-0.11439206,0.0705193,0.083022065,-0.27893072,-0.2891147,0.06709216
5,13,0.059149418,0.35324958,0.5361319,0.108472876,-0.02956158,-0.31571004,-0.13518499,-0.035802152,0.1935754,-0.21690203,0.4834229,-0.7469737,-0.19502369,-0.29336026,-0.023123663,0.43230477,-0.12607364,-0.47518963,0.44123566,0.19620943,-0.124957666,0.28506052,-0.027787017,0.14663525,-0.4558653,-0.116241165,0.510732,-0.8192477,-0.116220795,-0.049306147,-0.24773164,-0.5100185,-0.07818033,-0.23143077,-0.51773775,-0.17205256,-0.0026216013,-0.298862,-0.100720055,-0.28815928,0.34457296,-0.12454467,0.12147324,-0.6500541,-0.25748393,0.23469804,0.32931545,-0.5000392,-0.596631,0.07885713
6,100,0.2668389,0.3122102,0.20020251,-0.02073124,-0.24749379,-0.27517003,0.20943068,-0.2276392,0.19420671,-0.32161605,0.1541783,-0.49956363,-0.29272786,-0.029271437,-0.36748746,-0.39078113,-0.38262185,-0.043843623,0.3256187,0.35149664,-0.08534536,0.119768806,-0.34969926,-0.19273917,-0.2903538,0.6855797,0.41345644,-0.5890654,0.050791904,-0.034529455,-0.07220863,0.19664559,-0.10134048,-0.038760554,-0.1151311,-0.13467339,-0.027678858,-0.07612091,-0.11357526,0.12869212,0.46750623,-0.1856004,0.029662048,-0.36385345,-0.41027027,0.27938622,-0.027461508,-0.40266508,-0.15805402,-0.27889022
7,100,0.16020504,0.32422632,0.42342892,-0.041995466,-0.004703626,-0.39433286,0.09981129,-0.15339383,0.25040528,0.04066472,0.5690319,-0.64190537,-0.6330578,0.016893635,0.030673955,-0.14655289,-0.041563418,-0.2005825,0.2596313,0.41075364,-0.13432465,0.2000867,-0.19782674,-0.14550367,-0.19966108,0.3844319,0.45787278,-0.7834053,-0.039302863,0.014934948,-0.106812045,-0.051746853,-0.02561802,-0.049079232,-0.461262,0.08185209,0.19096695,-0.2058945,-0.22869228,-0.21766514,0.24163873,-0.08984362,0.010907026,-0.1703209,-0.22203301,0.1810128,-0.14711177,-0.34252807,-0.6502623,0.2610636
8,4,0.38449737,0.34235978,0.65025556,-0.30288053,0.049170285,-0.48636934,0.015945947,-0.051367946,0.32884327,-0.08104122,0.2487315,-0.7195495,-0.3344796,-0.05257532,-0.039053176,0.12411923,-0.07377755,-0.24248052,0.2936477,0.14049502,-0.19246322,0.31942296,-0.51055723,-0.07631989,-0.34348553,0.20480262,0.20312051,-0.6609528,-0.062236946,0.13736701,-0.16028135,-0.034862187,-0.008736965,-0.17028356,-0.5180003,-0.32020018,-0.18927374,-0.20714304,-0.2759372,-0.12882957,0.3484743,-0.34649634,0.091177195,-0.046529837,-0.073788375,0.32565826,-0.017614707,-0.31558722,-0.5922671,0.024172638
9,8,-0.084023684,0.23645565,0.19540748,-0.058096644,-0.0022854945,-0.19123179,-0.014002028,-0.11179768,0.14056109,-0.13859823,0.2024202,-0.15816645,-0.13481529,-0.10244964,0.0070214127,0.087906174,0.004896812,-0.062804095,0.088928446,0.15348403,-0.08731949,0.07773362,-0.11007806,-0.06368921,-0.15233262,0.08604305,0.17276363,-0.3091944,0.097616546,0.063498676,0.03848099,-0.056673046,-0.08517304,-0.11208534,-0.073049806,-0.030758815,-0.063259214,-0.17369461,-0.060960375,0.120187245,0.12482887,-0.13019061,0.05799835,-0.017217627,-0.16158159,0.07966326,-0.028213974,-0.20520113,-0.25544468,0.110228814
10,40,0.109209366,0.23930897,0.30977988,-0.08552363,-0.0847506,-0.23784338,-0.023029398,-0.1294015,0.16160898,-0.057102464,0.25794768,-0.20289283,-0.2354081,-0.058024194,0.14644766,0.15490757,-0.1274015,-0.09745971,0.20310283,0.07377487,-0.10672585,0.11145152,-0.15127786,-0.058921605,-0.22631612,0.02495873,0.239876,-0.26880088,-0.0736673,0.044560377,-0.02187139,0.0063142544,-0.057549648,0.031989682,-0.21797985,-0.08863135,-0.09114535,-0.24606067,-0.10529228,-0.0845879,0.17529877,-0.16662788,0.19135417,-0.05565286,-0.06403581,0.05032616,-0.020338546,-0.22700435,-0.39698637,0.09033467
